acc[0],acc[1],acc[2],gyro[0],gyro[1],gyro[2],pressure,temperature(C)
-0.22216797,0.99243164,0.07122803,-0.4272461,1.4648438,-0.25177002,1061.85,26.744444
-0.22375488,0.9945679,0.073791504,-0.19836426,1.449585,-0.289917,1061.88,26.744444
-0.21923828,0.99505615,0.07305908,-0.25177002,1.6021729,-0.1296997,1061.85,26.75
-0.222229,0.9923706,0.07171631,-0.1296997,1.5258789,-0.20599365,1061.84,26.75
-0.22198486,0.9951172,0.06939697,-0.20599365,1.4648438,-0.09918213,1061.93,26.75
-0.22357178,0.99572754,0.071777344,-0.25177002,1.4801025,-0.16784668,1061.93,26.75
-0.22283936,0.99365234,0.07116699,-0.289917,1.4724731,0.0076293945,1061.81,26.755558
-0.22131348,0.9953003,0.07110596,-0.31280518,1.5029907,-0.19073486,1061.84,26.755558
-0.22351074,0.9944458,0.07293701,-0.33569336,1.4877319,-0.16784668,1061.9,26.755558
-0.22070313,0.99383545,0.072143555,-0.289917,1.5335083,-0.09918213,1061.9,26.755558
-0.22064209,0.9951782,0.07556152,-0.38909912,1.411438,-0.21362305,1061.81,26.766666
-0.22033691,0.994812,0.073791504,-0.2670288,1.4419556,-0.16021729,1061.84,26.766666
-0.22027588,0.9937744,0.07183838,-0.35095215,1.5258789,-0.23651123,1061.87,26.766666
-0.21936035,0.99328613,0.070129395,-0.16784668,1.6098022,-0.4119873,1061.87,26.766666
-0.22210693,0.9935303,0.070495605,-0.31280518,1.5335083,-0.30517578,1061.84,26.772224
-0.22210693,0.9941406,0.07080078,-0.289917,1.4572144,-0.22888184,1061.84,26.772224
-0.22393799,0.9945679,0.07513428,-0.289917,1.5182495,-0.23651123,1061.84,26.772224
-0.22253418,0.99505615,0.07116699,-0.37384033,1.4343262,-0.1373291,1061.87,26.772224
-0.22290039,0.9945679,0.071899414,-0.33569336,1.4877319,-0.25177002,1061.87,26.783333
-0.22076416,0.9942627,0.073791504,-0.4196167,1.6403198,-0.21362305,1061.86,26.82778
-0.22314453,0.9944458,0.07714844,-0.2975464,1.4801025,-0.045776367,1061.89,26.82778
-0.22192383,0.9944458,0.07305908,-0.1373291,1.4953613,-0.15258789,1061.82,26.833336
-0.22381592,0.994751,0.074523926,-1.5029907,1.2893677,-1.0147095,1061.82,26.833336
-0.22473145,0.98864746,0.074645996,0.89263916,2.0217896,1.6708374,1061.82,26.833336
-0.20043945,1.0030518,0.06390381,-1.8005371,0.1296997,2.2888184,1061.82,26.833336
-0.13964844,1.0299683,0.13861084,-25.543213,-11.024475,5.6533813,1061.82,26.833336
-0.2076416,1.0556641,-0.004272461,-7.7667236,126.182556,24.055481,1061.82,26.833336
-0.12646484,0.95526123,0.32421875,-30.387878,-15.151978,5.470276,1061.77,26.844444
-0.010253906,0.94366455,0.39593506,1.1367798,3.6239624,7.194519,1061.8,26.844444
0.020568848,0.95928955,0.48217773,-3.7612915,-3.5552979,11.787415,1061.86,26.833336
-0.22686768,0.618103,0.016906738,-12.794495,145.2713,26.504517,1061.82,26.833336
0.78186035,0.8864136,0.35308838,16.471863,-101.70746,-47.477722,1061.86,26.822222
0.005554199,1.0264893,0.053222656,-5.706787,-9.742737,-34.4162,1061.82,26.822222
-0.45892334,1.2006226,0.10784912,26.390076,-7.171631,-183.78448,1061.75,26.82778
-2,1.3087158,0.053527832,-4.9057007,12.702942,-41.282654,1061.78,26.82778
-0.09436035,1.2192383,0.20672607,-20.111084,10.322571,-86.05957,1061.81,26.838888
-0.35876465,1.5419312,-0.105285645,3.578186,116.19568,249.99237,1061.8,26.838888
-0.1274414,1.0075073,0.044189453,7.8582764,-11.482239,-19.14215,1061.82,26.822222
-0.51312256,0.9647217,-0.3190918,-4.951477,-18.173218,-167.97638,1061.81,26.822222
-0.00018310547,1.649231,0.5812988,6.790161,91.73584,-142.9596,1061.81,26.811113
-0.14251709,1.326355,0.031921387,-24.43695,5.2337646,-102.06604,1061.78,26.811113
-0.29785156,1.9439087,-0.08117676,7.9727173,57.373047,249.99237,1061.82,26.822222
-0.056762695,1.0203857,-0.07824707,6.072998,-13.908386,-17.097473,1061.86,26.822222
0.48602295,0.33392334,0.16766357,26.428223,-93.23883,-15.434265,1061.78,26.844444
-0.28912354,1.2130127,-0.06854248,56.907654,76.3855,-172.98889,1061.82,26.844444
-0.18231201,1.206665,0.014038086,-18.26477,-5.1651,-89.88953,1061.86,26.822222
-0.17962646,1.3670654,-0.1138916,-1.8844604,55.55725,249.99237,1061.81,26.822222
-0.014404297,1.0206909,0.018127441,-6.4926147,-3.3416748,-27.580261,1061.92,26.811113
0.39953613,0.66656494,-0.03656006,-44.2276,34.50775,-74.75281,1061.9,26.811113
-0.18572998,1.0327148,0.0491333,-12.886047,194.43512,104.660034,1061.78,26.811113
0.02722168,1.00531,0.12963867,30.212402,27.000427,13.046265,1061.78,26.811113
0.06921387,1.0234375,0.054260254,-36.65924,-2.7389526,-10.139465,1061.9,26.799997
-1.1630859,1.1691284,0.9026489,0.541687,112.327576,-22.163391,1061.84,26.799997
0.024780273,1.0245361,0.13098145,5.3482056,3.3798218,0.46539307,1061.9,26.772224
0.041259766,1.0143433,0.109375,0.1449585,1.7852783,3.6087036,1061.84,26.772224
0.042236328,1.0125732,0.117370605,-1.0528564,0.09918213,1.6708374,1061.84,26.772224
-0.028747559,1.0064087,0.105163574,9.773254,13.092041,-16.441345,1061.84,26.772224
-0.020751953,1.0356445,-0.026550293,-0.8392334,-0.2593994,13.755798,1061.9,26.76111
-0.05493164,1.1594849,0.14776611,-22.727966,-8.613586,-47.554016,1061.87,26.76111
0.0690918,1.4191284,0.19274902,22.04132,12.260437,227.32544,1061.81,26.76111
-0.0075683594,1.0576782,-0.061645508,8.010864,-16.731262,-30.654907,1061.81,26.76111
0.08618164,0.803772,-0.08404541,13.656616,45.99762,-110.92377,1061.75,26.794447
0.34155273,0.9818115,0.868103,28.762817,125,-158.82874,1061.84,26.794447
-0.17718506,1.2991333,0.10809326,-13.313293,0.022888184,-108.76465,1061.84,26.794447
-0.16882324,1.9143066,0.07775879,-0.5340576,-12.252808,249.99237,1061.84,26.794447
-0.06188965,1.0238037,-0.026367188,2.4337769,-12.10022,-28.442383,1061.78,26.788889
0.14593506,0.2522583,-0.029052734,22.590637,25.253296,83.43506,1061.75,26.788889
-0.2130127,1.0910645,0.014587402,23.712158,15.419006,-76.21765,1061.81,26.794447
0.44525146,1.999939,0.10308838,-37.078857,-52.2995,-177.10114,1061.84,26.794447
-2,1.3770752,-0.52124023,7.621765,2.7999878,170.82977,1061.78,26.811113
-0.022644043,1.0997925,-0.025817871,-1.3961792,1.8539429,-80.9021,1061.84,26.811113
0.17443848,0.75408936,0.12896729,19.828796,3.0441284,235.51178,1061.78,26.822222
-0.022216797,1.036438,-0.010314941,-0.9841919,-18.859863,-13.580322,1061.81,26.822222
-0.54559326,0.9442749,-0.13226318,-5.683899,-49.02649,-148.01788,1061.81,26.838888
-0.020324707,1.2921753,-0.19366455,40.08484,72.62421,-221.33636,1061.82,26.838888
-0.005859375,1.715271,-0.09448242,-37.216187,-17.997742,-128.31879,1061.82,26.838888
-1.4067993,1.999939,-0.12548828,-9.422302,85.41107,249.99237,1061.82,26.838888
-0.068725586,1.0709229,-0.011352539,4.1656494,1.373291,-58.36487,1061.77,26.822222
0.13720703,0.67767334,0.105041504,15.686035,2.5939941,238.43384,1061.75,26.822222
-0.038269043,1.03479,-0.074279785,-3.1433105,-17.601013,-13.221741,1061.78,26.811113
0.5076294,0.6942749,0.04852295,-20.629883,-63.697815,-129.9057,1061.75,26.811113
-0.5282593,1.7711792,0.41046143,20.9198,136.7569,-180.82428,1061.78,26.811113
-0.21832275,1.2651367,0.09375,-19.195557,-2.922058,-107.39899,1061.78,26.811113
-0.072021484,1.6843262,0.13348389,9.83429,61.11145,249.99237,1061.78,26.838888
-0.020996094,1.0285034,-0.08947754,1.6098022,-17.875671,-12.672424,1061.82,26.838888
0.4215088,0.46368408,0.0076293945,32.15027,-79.85687,-94.63501,1061.71,26.866667
1.8704224,1.496582,0.47851563,-11.657715,114.463806,-80.74951,1061.77,26.866667
0.03942871,1.064331,0.04534912,-12.237549,15.365601,-25.161743,1061.89,26.833336
-0.11456299,1.017395,0.09161377,-3.0517578,10.269165,-6.0272217,1061.82,26.833336
-0.17510986,0.9894409,0.15289307,-6.4468384,12.962341,1.953125,1061.8,26.833336
-0.14971924,1.0004883,0.12823486,4.058838,3.6773682,3.2653809,1061.8,26.833336
-0.14630127,1.00354,0.107788086,2.0370483,4.6844482,-1.5792847,1061.89,26.811113
-0.1315918,1.0111694,0.085632324,1.7700195,2.3498535,3.0441284,1061.84,26.811113
-0.10241699,1.0198975,0.066711426,0.7095337,5.2948,0.38909912,1061.84,26.805555
-0.11956787,1.0141602,0.06311035,-0.4196167,1.7471313,-0.5950928,1061.84,26.805555
-0.1081543,1.0186157,0.05480957,0.34332275,2.571106,1.2054443,1061.78,26.805555
0.079833984,0.99645996,0.6129761,-44.708252,125.61035,7.6522827,1061.78,26.805555
-0.041809082,1.0602417,-0.028564453,6.8130493,13.412476,22.819519,1061.9,26.794447
-0.012512207,1.0368652,0.026733398,-23.406982,1.2512207,1.0375977,1061.84,26.794447
-0.020874023,0.963562,-0.097717285,-11.474609,163.71918,26.96228,1061.78,26.805555
-0.36431885,1.0023193,0.12652588,19.592285,44.311523,4.1275024,1061.84,26.805555
0.006652832,1.0274658,-0.036499023,0.6637573,-6.67572,8.796692,1061.9,26.799997
0.058776855,1.0338745,0.024780273,-9.628296,-1.1062622,4.1275024,1061.84,26.799997
0.053833008,1.0246582,0.06616211,2.5634766,2.8686523,-1.5182495,1061.84,26.805555
0.04901123,1.0551758,0.021057129,-11.413574,1.8692017,-41.542053,1061.9,26.805555
-0.32061768,0.47210693,-0.014770508,-26.481628,-8.804321,179.74854,1061.78,26.805555
0.12792969,1.017334,0.09399414,14.724731,12.290955,-31.684875,1061.78,26.805555
0.10211182,1.0223999,-0.00018310547,3.7078857,1.4190674,-4.79126,1061.84,26.811113
0.101257324,1.0252075,-0.0079956055,-1.8081665,1.3275146,1.8920898,1061.84,26.811113
0.1329956,1.0299072,0.029296875,-5.5160522,5.5618286,8.628845,1061.78,26.811113
-0.2584839,0.79156494,0.09857178,12.535095,3.3569336,-29.24347,1061.78,26.811113
-0.1463623,1.2263184,0.07519531,12.565613,-89.3631,-9.780884,1061.89,26.811113
0.044555664,1.0271606,-0.05328369,-10.948181,-10.5896,-8.972168,1061.89,26.811113
0.005004883,1.0227661,0.06121826,-13.008118,-1.4190674,1.3198853,1061.78,26.82778
0.016967773,1.0437622,0.15844727,-6.881714,4.2800903,-7.9956055,1061.8,26.82778
-0.07244873,0.76519775,0.36566162,15.87677,32.325745,-122.95532,1061.77,26.822222
-0.14343262,1.151062,0.19366455,2.3117065,-37.30011,-47.90497,1061.78,26.822222
0.04071045,1.2012329,-0.00592041,14.526367,-11.199951,40.96985,1061.81,26.811113
-0.0041503906,1.0410156,-0.05480957,9.498596,3.4866333,13.656616,1061.81,26.811113
0.038208008,1.0313721,-0.034729004,-5.645752,-2.128601,6.0043335,1061.81,26.82778
0.08319092,1.0408936,-0.0044555664,-10.765076,2.7542114,-2.6016235,1061.82,26.82778
0.50860596,0.72161865,-0.19482422,6.942749,119.40765,22.636414,1061.82,26.838888
-0.22314453,1.1227417,-0.095214844,33.416748,60.554504,-125.37384,1061.82,26.838888
-0.03942871,1.074646,-0.075683594,0.7095337,-5.6610107,-65.42206,1061.71,26.85
0.15808105,0.78808594,0.009887695,25.07782,45.72296,198.75336,1061.74,26.85
