phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy
1516740844621,0.0,0.0,0.0,NaN,NaN,12336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12336,-3.1835741,55.944674,0.0,55.306
1516740864723,0.0,0.0,0.0,22.300001,43.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1835733,55.9446709,144.5,19.694
1516740885480,375.495,530.17676,538.38336,22.4,42.8,22825,17110,12049,5628,1203,395,66,7,2,0,0,0,0,0,0,0,59285,-3.1835714,55.9446701,138.10000610351563,19.884
1516740906238,349.09744,491.6841,499.18677,22.5,42.5,22077,16235,11310,5361,1080,380,63,12,0,0,0,0,0,0,0,0,56518,-3.1836504,55.9446199,0.0,20.158
1516740925704,353.14886,496.83783,504.37198,22.6,42.4,22173,17420,11718,5509,1117,389,48,5,1,1,0,0,0,0,0,0,58381,-3.1835674,55.9446694,144.5,19.315
1516740946478,365.72186,520.9405,529.30426,22.6,42.3,22538,18555,13226,6286,1302,420,61,13,2,0,0,0,0,0,0,0,62403,-3.1835739,55.9446704,144.5,19.786
1516740966576,350.5421,498.19727,515.01056,22.7,42.2,22613,18024,12794,6130,1188,448,65,12,3,2,1,1,0,0,0,1,61282,-3.1835695,55.9446617,0.0,49.513
1516740987339,342.51047,486.09247,493.6261,22.7,42.3,22073,17614,12275,5930,1226,440,53,5,3,0,0,0,0,0,0,0,59619,-3.1836327,55.944637,0.0,42.5
1516741007444,350.28802,500.20425,508.1098,22.800001,42.3,22590,18256,13129,6389,1355,446,70,10,1,0,0,0,0,0,0,0,62246,-3.1835522,55.9446819,138.10000610351563,20.0
1516741027649,330.13202,469.36725,478.06073,22.800001,42.9,21690,16692,11927,5941,1199,380,52,17,0,2,0,0,0,0,0,0,57900,-3.1835715,55.9446708,138.10000610351563,19.615
1516741048320,314.3792,442.1879,451.50842,22.9,42.9,21733,16086,11330,5291,1015,333,50,7,0,1,0,1,0,0,0,0,55847,-3.1836497,55.9446278,144.5,20.038
1516741069733,331.55826,470.30856,478.15115,22.9,42.7,22036,17274,12436,5776,1157,400,59,8,2,1,0,0,0,0,0,0,59149,-3.1835724,55.9446714,144.5,19.833
1516741089191,324.15344,457.47324,466.43332,23.0,43.0,21946,16447,11671,5547,1059,341,56,10,2,3,0,0,0,0,0,0,57082,-3.1835793,55.9446727,144.5,19.774
1516741109299,325.91122,462.88956,470.3861,23.1,43.100002,21231,16781,12098,5595,1105,417,62,14,1,0,0,0,0,0,0,0,57304,-3.1835729,55.9446733,138.10000610351563,19.756
1516741129017,308.8457,475.2961,483.09586,23.1,43.4,7458,19601,15334,8029,1664,478,64,4,0,0,0,0,0,0,0,0,52632,-3.1835692,55.9446705,138.10000610351563,19.741
1516741149878,299.94098,462.92288,471.32178,23.4,42.7,7176,19715,15567,8113,1636,506,80,11,0,0,0,0,0,0,0,0,52804,-3.1835706,55.9446711,138.10000610351563,19.459
1516741170056,302.19406,468.84427,477.93777,23.5,42.600002,7242,20065,16189,8465,1841,562,74,12,2,0,0,0,0,0,0,0,54452,-3.1835732,55.9446719,138.10000610351563,19.603
1516741189450,298.26953,463.23163,471.8369,23.6,43.0,7281,19521,15972,8447,1784,570,66,7,2,0,0,0,0,0,0,0,53650,-3.1835522,55.9446819,138.10000610351563,20.0
1516741214749,289.30215,447.77426,455.20233,23.7,43.2,7576,19031,15466,8242,1707,547,52,4,0,0,0,0,0,0,0,0,52625,-3.1837123,55.944621,0.0,22.418
1516741234218,286.22018,443.77563,451.62308,23.7,43.3,7326,19165,15682,8297,1684,569,52,11,0,0,0,0,0,0,0,0,52786,-3.1836185,55.9446601,138.10000610351563,20.955
1516741251083,279.2367,430.5425,439.07944,23.800001,43.2,6992,18836,14755,7673,1558,542,60,8,2,1,0,0,0,0,0,0,50427,-3.1835743,55.9446721,138.10000610351563,19.844
1516741271197,279.1336,431.78244,439.50793,23.800001,43.3,7148,18978,15175,7920,1721,521,68,9,0,0,0,0,0,0,0,0,51540,-3.1836173,55.9447309,0.0,60.0
1516741291310,282.76724,436.6984,445.10422,23.9,43.3,7162,19071,15011,8094,1597,486,65,14,2,0,0,0,0,0,0,0,51502,-3.1835844,55.9446728,0.0,163.176
1516741310771,283.19275,439.00964,446.67215,23.9,43.4,7074,18675,15202,7879,1809,510,61,7,0,0,0,0,0,0,0,0,51217,-3.1835797,55.9446258,0.0,21.01
1516741330881,282.9808,438.65485,446.22403,24.0,43.600002,7081,18997,15467,8171,1717,501,63,7,0,0,0,0,0,0,0,0,52004,-3.1835902,55.9445907,0.0,24.325
1516741350991,278.53693,429.7802,437.39618,24.1,43.9,6982,19125,15109,7968,1596,490,50,8,2,0,0,0,0,0,0,0,51330,-3.1837381,55.9445774,0.0,78.672
1516741371105,270.7102,418.62656,429.92578,24.1,44.0,6718,18281,14549,7846,1535,471,48,11,2,0,0,0,0,1,0,0,49462,-3.1835811,55.9446761,0.0,20.95
1516741391294,272.0156,420.19635,427.29605,24.2,44.100002,6592,18118,14357,7606,1610,422,56,4,1,0,0,0,0,0,0,0,48766,-3.1835743,55.9446729,144.5,19.815
1516741412624,276.5206,428.45718,436.33356,24.300001,44.2,6641,18566,14744,7893,1625,502,69,8,1,0,0,0,0,0,0,0,50049,-3.1835723,55.9446712,138.10000610351563,19.85
1516741435523,271.63177,419.7673,426.64822,24.300001,44.5,6608,18942,15090,7883,1577,480,58,4,0,0,0,0,0,0,0,0,50642,-3.1835739,55.9446693,138.10000610351563,19.675
1516741454336,271.02338,418.4605,426.00186,24.4,44.5,7166,18491,14788,7759,1622,488,57,10,1,0,0,0,0,0,0,0,50382,-3.1836327,55.944637,144.5,30.0
1516741474452,271.52515,416.8798,424.6507,24.5,44.600002,7740,19056,14840,7813,1581,478,54,12,0,1,0,0,0,0,0,0,51575,-3.1835899,55.9446624,138.10000610351563,20.876
1516741494565,271.27,417.2499,424.48465,24.5,44.7,7573,18896,15156,7714,1567,522,43,7,2,0,0,0,0,0,0,0,51480,-3.1835877,55.9446707,144.5,19.922
1516741515970,273.71457,421.20303,430.4914,24.6,44.8,7772,19720,15598,8140,1585,493,76,13,3,2,0,0,0,0,0,0,53402,-3.1835899,55.9446737,138.10000610351563,19.981
1516741537382,273.56357,421.1602,428.66705,24.7,45.2,7618,19118,15350,7886,1545,522,60,10,1,0,0,0,0,0,0,0,52110,-3.1836214,55.9446316,144.5,20.116
1516741556240,270.97644,417.6876,432.12897,24.800001,45.4,7052,18719,14782,7776,1550,472,61,7,2,0,1,1,1,0,0,0,50424,-3.1835856,55.9447,138.10000610351563,19.895
1516741577002,265.36734,410.18164,418.68713,24.800001,45.7,7027,18005,14284,7780,1530,485,56,14,2,1,0,0,0,0,0,0,49184,-3.1835827,55.9446736,144.5,19.805
1516741599059,260.83505,401.72552,412.76025,24.9,45.7,7690,19276,15192,8127,1588,506,57,8,3,2,0,0,0,0,0,1,52450,-3.1835744,55.9446703,144.5,19.631
1516741620470,257.2033,395.2924,401.85712,24.9,45.7,7593,18703,14739,7703,1552,505,48,4,1,0,0,0,0,0,0,0,50848,-3.1835522,55.9446819,144.60000610351563,20.0
1516741641877,255.057,392.34396,399.5946,25.0,45.8,7259,17824,14048,7288,1509,491,60,11,1,0,0,0,0,0,0,0,48491,-3.1835763,55.944673,138.10000610351563,19.851
1516741661987,262.0501,404.093,411.754,25.1,45.9,7061,17313,13682,7283,1547,465,61,7,0,1,0,0,0,0,0,0,47420,-3.1835522,55.9446819,0.0,49.826
1516741682746,260.85327,400.23956,407.4115,25.1,46.0,6948,17337,13639,6991,1405,419,55,11,1,0,0,0,0,0,0,0,46806,-3.1836327,55.944637,144.5,30.0
1516741702857,269.051,412.63556,419.11044,25.2,46.100002,7140,17989,14195,7267,1402,447,54,2,0,0,0,0,0,0,0,0,48496,-3.1835747,55.9446708,144.60000610351563,19.389
1516741724731,263.65607,405.1642,413.1604,25.300001,46.3,7003,17684,13940,7183,1451,446,62,6,0,2,0,0,0,0,0,0,47777,-3.1835781,55.9446715,144.5,19.712
1516741745504,259.19843,396.3982,403.25134,25.300001,46.4,7287,18039,13915,7163,1373,424,64,7,1,0,0,0,0,0,0,0,48273,-3.1836335,55.9446617,144.5,20.232
1516741766831,268.84995,411.62994,418.17093,25.4,46.600002,7487,18441,14329,7443,1442,442,54,4,0,0,0,0,0,0,0,0,49642,-3.183634,55.9446583,144.5,21.235
1516741788965,263.90274,404.27966,410.9751,25.5,46.7,7772,18945,14942,7590,1473,466,70,5,0,0,0,0,0,0,0,0,51263,-3.1835807,55.9446698,138.10000610351563,19.741
1516741811133,268.93658,412.63138,420.3226,25.5,46.9,7612,18953,14993,7688,1508,453,63,5,2,1,0,0,0,0,0,0,51278,-3.1835774,55.9446703,144.5,19.764
1516741831834,271.1979,414.56885,421.485,25.6,47.0,7653,18303,14266,7268,1395,455,58,8,0,0,0,0,0,0,0,0,49406,-3.1836496,55.9446672,144.5,20.044
1516741851942,271.8338,415.6493,422.94083,25.7,47.2,7258,17720,13681,7084,1325,448,47,8,2,0,0,0,0,0,0,0,47573,-3.1835782,55.9446739,138.10000610351563,19.774
1516741873353,277.1965,425.2353,436.74625,25.7,47.3,7510,18439,14347,7480,1483,438,82,9,0,1,0,0,0,0,1,0,49790,-3.1835796,55.9446715,144.5,19.673
1516741894163,274.26733,420.7091,428.07437,25.800001,47.4,7417,17858,14017,7342,1426,448,57,5,2,0,0,0,0,0,0,0,48572,-3.1835773,55.9446697,144.5,19.558
1516741914312,273.22482,417.5515,424.61307,25.9,47.600002,7187,17461,13528,6836,1378,429,46,11,0,0,0,0,0,0,0,0,46876,-3.183579,55.9446712,144.5,19.568
1516741934981,272.74222,416.5693,423.26477,25.9,47.7,7308,17456,13948,6936,1273,390,47,9,0,0,0,0,0,0,0,0,47367,-3.1835742,55.944673,144.60000610351563,19.573
1516741955826,270.51614,412.86246,419.62326,26.0,47.9,7305,17528,13728,6981,1290,400,36,6,2,0,0,0,0,0,0,0,47276,-3.1835765,55.9446734,144.5,19.463
1516741976547,268.95605,411.79428,419.00296,26.0,48.0,6851,16939,13272,6890,1276,381,49,8,2,0,0,0,0,0,0,0,45668,-3.183576,55.9446636,144.5,19.574
1516741995971,268.86835,409.47275,417.21155,26.1,48.100002,7209,17391,13387,6792,1293,346,50,6,1,0,1,0,0,0,0,0,46476,-3.1835764,55.9446633,144.5,19.648
1516742016784,267.2244,407.93027,414.30002,26.2,48.2,7209,16893,13307,6639,1297,403,51,3,0,0,0,0,0,0,0,0,45802,-3.1835763,55.9446754,138.10000610351563,19.731
1516742036905,265.1868,405.77014,412.26746,26.2,48.4,7103,16573,12904,6696,1324,442,39,5,0,0,0,0,0,0,0,0,45086,-3.1835782,55.9446711,144.5,19.615
1516742056391,264.82907,405.06198,412.20337,26.300001,48.5,7116,16984,13216,6796,1382,387,53,5,0,1,0,0,0,0,0,0,45940,-3.1836795,55.9446318,144.60000610351563,19.987
1516742076500,265.9005,406.5753,413.68744,26.300001,48.600002,7184,16608,12929,6782,1295,397,49,3,3,0,0,0,0,0,0,0,45250,-3.1837188,55.9447245,137.8000030517578,20.151
1516742097307,264.28,405.13226,411.89484,26.4,48.7,7327,17070,13478,6917,1471,428,49,4,1,0,0,0,0,0,0,0,46745,-3.1835744,55.9446719,144.5,19.602
1516742117321,263.3689,402.49872,409.79208,26.4,48.8,7147,16773,12732,6680,1350,415,61,9,1,0,0,0,0,0,0,0,45168,-3.183579,55.9446718,144.5,19.749
1516742137429,263.65683,403.1631,410.0746,26.5,48.9,6980,16593,12912,6623,1338,379,53,7,1,0,0,0,0,0,0,0,44886,-3.1835763,55.9446736,138.10000610351563,19.651
1516742158212,261.3591,399.0912,405.44586,26.5,49.0,6900,16442,12595,6634,1304,356,36,8,0,0,0,0,0,0,0,0,44275,-3.1835788,55.9446717,144.5,19.751
1516742177003,260.5032,396.72986,402.86615,26.6,49.100002,6853,16395,12632,6393,1246,330,46,5,0,0,0,0,0,0,0,0,43900,-3.1835752,55.9446718,144.5,19.716
1516742197207,257.12106,391.48572,397.86554,26.6,49.2,6916,16286,12283,6185,1292,400,54,4,0,0,0,0,0,0,0,0,43420,-3.1835861,55.9446627,144.5,19.708
1516742217331,258.71436,394.20135,400.6842,26.7,49.3,6956,16158,12477,6337,1184,397,44,5,1,0,0,0,0,0,0,0,43559,-3.1835926,55.9446688,144.5,19.759
1516742236781,257.06924,392.46677,399.3206,26.7,49.5,6915,16132,12387,6359,1325,381,45,6,2,0,0,0,0,0,0,0,43552,-3.1835803,55.9446715,144.5,19.814
1516742256802,256.04507,389.98795,397.41418,26.800001,49.600002,7045,16476,12301,6479,1239,441,29,7,0,2,0,0,0,0,0,0,44019,-3.1835844,55.9446691,144.5,19.598
1516742277641,254.54945,388.97208,395.57538,26.800001,49.8,7060,16182,12495,6562,1234,403,57,7,0,0,0,0,0,0,0,0,44000,-3.1835809,55.9446712,144.5,19.753
1516742297783,253.17206,385.59003,392.04132,26.800001,50.0,7072,16132,12243,6420,1208,366,56,4,1,0,0,0,0,0,0,0,43502,-3.1835741,55.9446718,144.5,19.682
1516742317864,249.21582,379.06525,385.15823,26.800001,50.100002,6976,16039,12202,6226,1193,365,52,5,0,0,0,0,0,0,0,0,43058,-3.1835723,55.9446742,144.5,19.514
1516742338546,247.4228,376.05725,382.60434,26.9,50.3,7126,16137,12354,6219,1188,378,43,8,2,0,0,0,0,0,0,0,43455,-3.1835814,55.9446728,144.5,19.753
1516742359306,247.85274,375.3816,381.7259,26.9,50.5,7373,16574,12371,6292,1181,371,37,8,2,0,0,0,0,0,0,0,44209,-3.1835825,55.94467,144.5,19.734
1516742379414,247.46802,374.2613,380.0831,27.0,50.600002,6946,16218,12040,5953,1091,352,57,3,0,0,0,0,0,0,0,0,42660,-3.1835746,55.9446702,144.5,19.615
1516742401593,246.8525,374.7403,381.28708,27.0,50.7,7052,16037,12111,6095,1193,354,51,10,1,0,0,0,0,0,0,0,42904,-3.1835887,55.9446666,144.5,20.433
1516742420284,245.74545,373.36392,379.7714,27.0,50.9,6843,15847,11939,6045,1173,355,51,11,0,0,0,0,0,0,0,0,42264,-3.1835731,55.9446761,144.5,19.612
1516742440396,240.93442,365.44284,371.09152,27.0,51.100002,6646,15054,11411,5626,1103,372,41,3,0,0,0,0,0,0,0,0,40256,-3.1835792,55.9446716,144.5,19.765
1516742461158,241.35443,366.42798,373.92828,27.0,51.2,6996,16048,11945,6089,1225,336,64,10,0,0,1,0,0,0,0,0,42714,-3.183639,55.9446593,144.5,20.177
1516742481987,243.17908,367.3811,372.8841,27.1,51.3,7350,16262,12326,5974,1115,372,32,6,0,0,0,0,0,0,0,0,43437,-3.183581,55.9446699,144.5,19.668
1516742503395,239.64038,362.26556,368.87503,27.1,51.4,7555,16206,12162,6087,1109,363,59,5,1,1,0,0,0,0,0,0,43548,-3.1835857,55.9446679,144.5,19.589
1516742526032,238.8612,360.63736,366.40726,27.1,51.5,7755,16818,12437,6239,1194,353,54,7,0,0,0,0,0,0,0,0,44857,-3.1835745,55.9446717,144.5,19.593
1516742546874,234.74586,353.6887,359.49783,27.2,51.7,7115,15699,11391,5739,1074,344,37,3,0,1,0,0,0,0,0,0,41403,-3.183578,55.9446729,144.5,19.682
1516742566997,239.14177,361.89355,369.76492,27.2,51.8,6978,15526,11384,5828,1099,362,54,4,1,3,0,0,0,0,0,0,41239,-3.1835776,55.9446736,138.10000610351563,19.707
