phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy
1511137790131,0.2025942,1.056944,31.618622,26.0,61.4,55,23,5,4,4,2,5,1,1,1,0,4,2,0,0,1,108,-3.1771704,55.9397095,0.0,600.0
1511137811573,0.58106285,2.4244509,79.41606,21.6,60.5,204,79,17,8,2,7,7,3,3,7,4,6,4,1,2,0,354,-3.1771288,55.9393621,0.0,600.0
1511137833046,0.5456143,2.157265,65.00227,21.7,60.2,179,75,12,9,4,4,6,3,3,4,3,5,4,0,0,2,313,-3.1771288,55.9393621,0.0,600.0
1511137852538,0.56117135,3.1737041,79.94854,21.800001,59.600002,211,65,11,11,3,2,10,11,3,5,4,9,1,0,1,2,349,-3.1771288,55.9393621,0.0,600.0
1511137877874,0.48256746,2.3026657,66.168106,21.9,59.2,181,58,7,4,5,7,7,3,3,3,6,4,2,2,0,1,293,-3.1771288,55.9393621,0.0,600.0
1511137893500,0.55010164,2.1648066,40.41053,22.1,58.9,197,64,16,11,2,7,6,4,2,2,3,3,2,0,1,0,320,-3.1771288,55.9393621,0.0,600.0
1511137913634,0.55281615,2.2390194,48.51091,22.2,58.600002,214,75,10,8,3,6,7,3,4,2,4,4,2,1,0,0,343,-3.1771288,55.9393621,0.0,600.0
1511137933147,0.63587695,2.6524532,50.454117,22.300001,58.2,194,87,10,9,7,7,5,6,2,4,5,1,2,2,0,0,341,-3.1771288,55.9393621,0.0,600.0
1511137952650,0.5565471,2.4019628,69.552605,22.4,57.9,172,79,13,5,2,6,6,3,4,4,8,5,1,0,0,2,310,-3.1771288,55.9393621,0.0,600.0
1511137972155,0.48780254,2.3658028,73.83301,22.5,57.600002,195,53,12,3,2,2,9,4,4,2,5,7,2,1,1,0,302,-3.1771288,55.9393621,0.0,600.0
1511137991625,0.53370786,1.9647418,45.94367,22.6,57.3,183,68,10,5,3,7,3,4,2,1,3,5,1,1,0,0,296,-3.1771288,55.9393621,0.0,600.0
1511138011129,0.58728063,2.8698375,40.039574,22.7,57.100002,159,63,17,7,8,4,11,6,1,1,2,5,0,0,1,0,285,-3.1826219,55.9434015,0.0,600.0
1511138032580,0.60854083,2.7736979,32.883636,22.800001,56.7,185,80,21,5,7,9,13,2,2,4,2,1,0,1,1,1,334,-3.1826219,55.9434015,0.0,600.0
1511138052075,0.51668835,2.380163,67.48693,22.9,56.4,166,70,10,7,3,3,7,5,3,4,4,4,1,1,2,2,292,-3.1793188,55.9424414,0.0,400.0
1511138070951,0.5952109,1.8333691,69.109886,23.0,56.2,193,73,14,11,6,4,0,5,1,1,7,3,5,1,0,1,325,-3.1793188,55.9424414,0.0,400.0
1511138090450,0.4685353,2.0152605,47.65475,23.0,55.9,158,67,10,5,1,3,2,7,3,4,3,5,1,0,0,0,269,-3.1850172,55.9443849,0.0,800.0
1511138109935,0.4993451,1.9402279,50.846466,23.1,55.600002,167,67,9,5,2,4,8,1,2,1,5,5,1,0,1,0,278,-3.1850172,55.9443849,0.0,800.0
1511138134000,0.50174063,2.6053364,59.778774,23.2,55.5,171,57,9,5,6,5,6,8,2,2,6,3,2,1,1,0,284,-3.1850172,55.9443849,0.0,800.0
1511138148969,0.5880787,2.2329164,48.916935,23.300001,55.2,182,73,20,7,2,3,7,3,2,5,2,6,0,1,0,0,313,-3.1850172,55.9443849,0.0,800.0
1511138168497,0.51348495,2.1504643,51.56453,23.300001,55.0,163,76,11,5,0,5,8,2,2,5,4,3,1,2,0,0,287,-3.1850172,55.9443849,0.0,800.0
1511138187979,0.51508147,1.9731417,33.735508,23.4,54.8,186,61,14,7,5,3,5,5,2,1,1,5,1,0,0,0,296,-3.1850172,55.9443849,0.0,800.0
1511138207443,0.48637828,1.5945653,32.707634,23.5,54.600002,179,66,13,7,0,4,3,2,4,2,1,1,2,1,0,1,286,-3.1850172,55.9443849,0.0,800.0
1511138226937,0.47834662,1.880151,39.552273,23.5,54.4,183,64,7,4,2,5,4,2,4,5,0,5,1,0,0,0,286,-3.1817554,55.9437723,0.0,300.0
1511138246424,0.41856745,1.4179194,56.622456,23.6,54.2,164,60,5,4,1,3,5,1,1,2,4,4,4,0,1,0,259,-3.1826219,55.9434015,0.0,600.0
1511138266576,0.45361602,1.8138704,75.122536,23.6,53.8,177,59,11,5,2,3,4,4,2,4,5,6,5,1,0,0,288,-3.1817554,55.9437723,0.0,300.0
1511138286078,0.49317724,2.1020577,58.91237,23.7,53.600002,196,56,11,4,4,4,4,5,3,3,5,6,1,1,0,0,303,-3.1817554,55.9437723,0.0,300.0
1511138307524,0.49606708,2.0595138,38.16681,23.7,53.5,195,59,13,5,4,3,7,4,2,3,3,4,1,0,0,0,303,-3.1817554,55.9437723,0.0,300.0
1511138326383,0.48876357,1.954146,27.583431,23.800001,53.3,178,55,15,3,4,4,8,3,0,2,4,0,1,1,0,0,278,-3.1817554,55.9437723,0.0,300.0
1511138345894,0.5355376,2.3319676,65.81393,23.800001,53.2,193,65,9,4,6,5,8,4,1,2,6,2,4,1,1,1,312,-3.1817554,55.9437723,0.0,300.0
1511138371880,0.51718575,2.075698,38.36161,23.9,52.9,186,84,10,4,3,7,9,3,0,3,3,3,0,1,1,1,318,-3.1817554,55.9437723,0.0,300.0
1511138386835,0.50470865,2.24952,43.01799,23.9,52.7,164,68,9,9,5,2,11,2,2,4,2,1,2,2,0,1,284,-3.1817554,55.9437723,0.0,300.0
1511138406327,0.4663645,1.6805849,41.293957,24.0,52.600002,163,62,10,2,3,7,5,1,0,3,5,4,0,0,0,1,266,-3.1817554,55.9437723,0.0,300.0
1511138425836,0.54842764,2.0521908,35.486515,24.0,52.4,168,86,13,7,1,3,6,5,1,3,3,2,2,0,0,0,300,-3.1817554,55.9437723,0.0,300.0
1511138445993,0.004919599,0.37791163,6.3203783,24.1,52.3,2,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,8,-3.1817554,55.9437723,0.0,300.0
1511138468773,0.49054608,1.9213852,41.57797,24.1,52.2,171,85,15,4,3,4,7,5,2,0,3,6,1,1,0,0,307,-3.1817554,55.9437723,0.0,300.0
1511138488289,0.4544512,1.674942,27.024677,24.1,52.100002,177,52,9,7,3,1,6,3,0,3,5,0,0,1,0,0,267,-3.1817554,55.9437723,0.0,300.0
1511138507723,0.45851827,2.1925857,32.087563,24.2,52.0,150,65,10,3,3,6,10,4,0,2,3,3,0,1,0,0,260,-3.1817554,55.9437723,0.0,300.0
1511138527884,0.47284466,2.0412688,37.981907,24.2,51.9,168,63,6,5,4,9,5,2,3,3,4,1,2,0,0,1,276,-3.1817554,55.9437723,0.0,300.0
1511138548676,0.5161607,1.9819767,35.375298,24.300001,51.7,165,55,18,11,1,4,6,3,1,4,3,3,0,0,1,0,275,-3.1817554,55.9437723,0.0,300.0
1511138568171,0.47956708,2.0321467,25.947975,24.300001,51.600002,156,60,13,4,3,6,9,2,0,3,2,3,0,0,0,0,261,-3.1821678,55.9434132,0.0,600.0
1511138587679,0.48807457,1.6721588,11.232223,24.300001,51.4,179,54,10,9,4,5,5,1,2,1,2,0,0,0,0,0,272,-3.1820833,55.94519,44.1,96.0
1511138607829,0.21568988,0.65403515,6.92741,24.300001,51.3,78,28,7,4,1,0,3,0,1,1,0,1,0,0,0,0,124,-3.1821,55.94516,65.5,96.0
1511138636428,0.46446675,1.4101869,23.826077,24.4,51.2,177,68,10,10,3,2,6,2,0,0,1,3,2,0,0,0,284,-3.1829967,55.9450067,22.5,96.0
1511138650729,0.43674386,1.5109216,23.388447,24.4,51.100002,167,64,11,2,2,3,6,2,0,3,3,1,0,0,1,0,265,-3.1829967,55.9450067,0.0,120.089
1511138673479,0.47580868,1.7716348,34.54792,24.4,51.0,225,63,10,8,2,5,8,2,2,2,1,2,3,0,0,2,335,-3.1829967,55.9450067,0.0,157.834
1511138693628,0.4737561,2.2076151,25.154228,24.5,50.8,167,62,9,6,3,5,10,3,1,4,2,1,1,0,0,0,274,-3.1829967,55.9450067,0.0,188.345
1511138714428,0.4519326,1.6392784,21.409912,24.5,50.7,174,60,8,5,5,1,7,2,2,0,2,3,0,0,0,0,269,-3.1829967,55.9450067,0.0,219.086
1511138734579,0.42949843,1.7403105,44.31154,24.5,50.600002,181,64,8,4,1,1,10,2,2,1,2,3,5,0,0,0,284,-3.1829967,55.9450067,0.0,250.775
1511138755379,0.4278934,1.1118959,16.75505,24.6,50.5,153,68,7,5,2,4,1,2,0,2,1,0,2,0,0,0,247,-3.1821678,55.9434132,0.0,600.0
1511138776829,0.45829836,1.2961215,18.40545,24.6,50.3,177,79,11,4,2,3,3,3,0,2,2,0,1,0,1,0,288,-3.1821678,55.9434132,0.0,600.0
1511138798320,0.4880525,1.7904826,25.88142,24.6,50.2,178,67,14,4,5,5,6,2,1,3,4,2,0,0,0,0,291,-3.1821262,55.9430659,0.0,600.0
1511138818434,0.44763786,1.4451164,16.073032,24.6,50.100002,155,60,15,3,3,1,4,3,0,4,1,1,0,0,0,0,250,-3.1821678,55.9434132,0.0,600.0
1511138839259,0.4840758,1.7313218,19.40065,24.6,50.0,204,66,15,4,2,5,9,1,1,1,3,2,0,0,0,0,313,-3.1817554,55.9437723,0.0,300.0
1511138860679,0.42753115,1.497171,18.095718,24.7,49.8,176,63,9,5,3,3,5,4,0,2,0,1,2,0,0,0,273,-3.1817554,55.9437723,0.0,300.0
1511138886680,0.44715717,1.4888356,22.119867,24.7,49.7,161,64,7,7,5,4,4,2,1,2,0,2,1,0,1,0,261,-3.1821678,55.9434132,0.0,600.0
1511138902276,0.5460534,2.2921693,12.833867,24.7,49.5,184,64,13,9,5,2,7,6,2,2,1,0,0,0,0,0,295,-3.1821678,55.9434132,0.0,600.0
1511138919827,0.41907203,1.5478221,11.752863,24.7,49.5,129,54,11,6,3,3,2,5,1,2,0,1,0,0,0,0,217,-3.1821678,55.9434132,0.0,600.0
1511138939326,0.475187,1.6643056,16.596819,24.800001,49.4,152,64,8,8,3,1,6,3,0,2,2,1,0,0,0,0,250,-3.1821678,55.9434132,0.0,600.0
1511138958828,0.47658545,1.5714405,25.443914,24.800001,49.2,143,76,5,7,3,2,5,1,2,2,2,3,0,0,0,0,251,-3.1840083,55.9449783,127.5,7.3
1511138978329,0.41783693,1.8033092,17.819311,24.800001,49.100002,139,51,11,5,3,3,5,5,1,2,2,1,0,0,0,0,228,-3.1839567,55.9450933,157.8,96.0
1511138997840,0.39654434,1.4684484,24.567726,24.800001,49.0,166,39,8,5,1,5,5,1,1,2,3,0,0,2,0,0,238,-3.1841583,55.9451217,103.0,96.0
1511139017338,0.54480433,1.6847875,13.125415,24.800001,49.0,181,65,14,8,3,6,6,1,0,0,1,1,0,0,0,1,287,-3.1821678,55.9434132,0.0,600.0
1511139036849,0.5603412,2.1967947,84.80064,24.9,48.7,209,66,15,5,6,1,6,6,2,1,3,7,6,1,1,1,336,-3.1821678,55.9434132,0.0,600.0
1511139057624,0.5328694,2.5354857,76.9226,24.9,48.5,188,65,11,6,2,8,8,2,4,5,6,9,1,0,1,0,316,-3.1821678,55.9434132,0.0,600.0
1511139077134,0.4593363,2.133793,127.28168,24.9,48.3,152,53,11,6,4,3,7,3,2,4,6,5,8,4,2,3,273,-3.1821678,55.9434132,0.0,600.0
1511139096639,0.6581411,2.7075574,92.64183,24.9,48.2,209,83,19,8,2,8,7,2,5,5,6,6,4,1,1,2,368,-3.1817554,55.9437723,0.0,300.0
1511139116778,0.5948808,2.6146321,115.44729,24.9,48.100002,218,76,10,6,3,9,5,4,6,1,6,13,2,4,1,1,365,-3.1821262,55.9430659,0.0,600.0
1511139141475,0.61162347,2.8526084,126.55363,24.9,48.0,223,74,8,9,6,6,9,3,3,7,8,8,7,2,2,1,376,-3.1817554,55.9437723,0.0,300.0
1511139155790,0.35680458,2.026805,78.29023,24.9,48.0,141,35,8,2,4,4,7,2,4,4,6,5,3,2,1,0,228,-3.1817554,55.9437723,0.0,300.0
1511139175283,0.53413653,2.0872688,109.59386,24.9,47.9,173,58,12,6,6,8,3,2,2,5,3,5,7,5,2,0,297,-3.1817554,55.9437723,0.0,300.0
1511139196089,0.58733016,2.3164318,103.5613,24.9,47.9,187,82,10,10,5,3,5,3,5,4,2,12,6,0,1,1,336,-3.1817554,55.9437723,0.0,300.0
1511139215599,0.5038944,2.0698051,102.94626,24.9,47.8,181,59,11,7,7,4,5,1,3,7,6,7,6,2,0,2,308,-3.1821678,55.9434132,0.0,600.0
