phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy
1516478009569,0.0,0.0,0.0,NaN,NaN,12336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12336,-3.1835502,55.9446833,138.10000610351563,20.0
1516478030976,0.0,0.0,0.0,23.800001,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1836108,55.9446445,0.0,15.416
1516478050448,86.26425,101.586945,119.09352,23.9,40.2,13780,1914,753,333,121,114,45,33,9,3,3,0,0,1,0,0,17109,-3.1836249,55.9446435,0.0,15.506
1516478071847,97.98547,118.8267,140.35258,24.0,39.600002,14714,2435,1107,499,143,144,86,35,13,9,0,2,0,0,0,0,19187,-3.1835761,55.9446712,0.0,15.825
1516478091313,132.2128,164.47046,189.98456,24.0,39.100002,18069,3695,1756,875,259,220,100,57,13,9,3,1,0,0,0,0,25057,-3.1835615,55.9446765,138.10000610351563,13.716
1516478110778,147.32954,186.8664,239.58174,24.1,38.8,19566,4611,2243,1139,342,299,119,67,20,12,1,5,1,2,0,0,28427,-3.1835637,55.9446774,138.10000610351563,13.045
1516478130888,225.61415,342.26752,656.1257,24.2,38.600002,23710,8794,5355,3304,1357,1416,842,384,152,90,34,19,7,3,1,6,45474,-3.183561,55.9446811,138.10000610351563,13.664
1516478151651,266.56448,374.3172,508.91077,24.300001,38.9,27614,11475,6434,3465,1138,926,483,251,66,31,16,3,3,3,2,1,51911,-3.1835707,55.9446757,138.10000610351563,14.105
1516478171113,325.54422,473.18808,622.1633,24.300001,38.2,29381,14491,9003,4873,1652,1290,610,309,114,45,13,5,4,0,0,0,61790,-3.1835641,55.944679,138.10000610351563,13.265
1516478191218,353.47308,538.12244,720.52045,24.300001,37.7,28674,16162,10581,6270,2337,1857,872,440,124,61,16,6,1,2,0,0,67403,-3.1835502,55.9446833,138.10000610351563,20.0
1516478211978,383.46738,604.8204,841.94196,24.300001,37.4,28591,17785,12128,7729,2873,2474,1089,571,161,95,23,8,0,1,0,0,73528,-3.1835851,55.9446502,0.0,19.624
1516478231451,396.8392,644.9226,924.8334,24.300001,37.3,27711,18249,13240,8770,3540,2828,1334,612,209,85,28,10,4,0,0,1,76621,-3.1835743,55.9446749,138.10000610351563,14.598
1516478250907,414.70377,703.3793,1133.3833,24.300001,37.3,26333,19170,14699,9956,4137,3475,1746,842,283,134,40,20,8,2,1,1,80847,-3.1835903,55.9446504,0.0,18.228
1516478272404,418.8023,715.02814,1093.7607,24.2,37.3,26283,19450,15137,10728,4514,3761,1716,797,279,116,40,17,6,0,0,0,82844,-3.1835861,55.9446598,138.10000610351563,15.178
1516478291777,421.32892,733.1315,1158.9852,24.2,37.3,26042,20429,16129,11579,4941,4173,2004,906,327,127,48,17,5,2,2,2,86733,-3.1835804,55.9446642,0.0,36.791
1516478312539,434.66205,764.2744,1178.6133,24.2,37.3,24896,20907,17243,12346,5355,4436,2031,924,271,151,38,18,6,2,0,0,88624,-3.1835681,55.9446734,138.10000610351563,13.772
1516478331357,489.43225,918.5953,1488.2089,24.2,37.4,21450,23538,21879,16972,7491,6054,2753,1190,431,209,62,19,6,3,1,2,102060,-3.1835637,55.9446756,138.10000610351563,13.12
1516478351464,546.6364,1089.6931,1781.5146,24.2,37.4,16923,25622,27657,22152,10221,8033,3516,1558,535,264,67,22,8,2,0,4,116584,-3.1835623,55.9446765,138.10000610351563,12.877
1516478371575,544.6559,1253.5844,2570.8604,24.2,37.4,9748,22013,30480,29488,15783,12379,5192,2209,766,436,129,75,24,13,6,18,128759,-3.1835708,55.944671,138.10000610351563,19.573
1516478392335,547.704,1247.524,2106.0732,24.2,37.5,9827,22360,30736,29395,15499,12443,5137,2047,659,311,94,22,6,3,4,1,128544,-3.1835618,55.9446776,138.10000610351563,15.247
1516478411149,468.82175,1364.6652,2896.8826,24.2,37.600002,4085,13688,26689,32864,21876,19715,8577,3119,1055,554,153,49,26,12,1,2,132465,-3.183563,55.9446786,144.5,14.374
1516478433204,410.60495,1385.7876,2899.5208,24.300001,37.600002,2317,9824,23420,33746,24835,25035,10911,3686,1194,581,135,41,4,4,5,6,135744,-3.1835825,55.944665,138.10000610351563,13.698
1516478453316,355.68668,1424.4264,3820.8794,24.300001,37.7,1491,6960,18890,30677,25310,28733,13934,4807,1555,759,242,105,40,13,10,17,133543,-3.1835932,55.9446608,0.0,18.55
1516478472134,222.66081,1531.1395,6641.7773,24.300001,37.7,422,2547,9146,20689,23010,36008,24247,8862,3402,1833,585,256,86,35,19,40,131187,-3.183574,55.9446703,144.5,14.039
1516478491591,244.875,1438.7975,4656.675,24.300001,37.7,557,3272,11062,23081,24158,35176,20769,7212,2501,1215,340,126,28,6,7,16,129526,-3.1835787,55.944668,0.0,14.613
1516478511706,273.98477,1412.3558,5198.807,24.300001,37.8,1010,4753,13923,25893,24263,32345,19062,7108,2665,1506,434,182,65,28,16,25,133278,-3.1835522,55.9446819,138.10000610351563,20.0
1516478531816,309.3941,1419.2726,4322.798,24.4,37.9,1382,6046,15869,27253,24459,30089,16942,6261,2183,1138,305,113,30,12,13,8,132103,-3.1835696,55.9446737,138.10000610351563,14.23
1516478552575,344.22244,1423.4355,4997.845,24.4,37.9,2076,7953,17931,28166,22866,27187,14952,5990,2346,1264,385,175,64,39,15,31,131440,-3.1835773,55.9446696,138.10000610351563,17.234
