phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy
1516188397966,0.0,0.0,0.0,22.800001,69.3,12336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12336,-3.1836182,55.944635,144.6999969482422,24.9
1516188418711,0.0,0.0,0.0,23.2,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1835667,55.944662,0.0,242.987
1516188438176,1.7512584,3.1584945,8.23832,23.4,49.100002,21,79,74,46,6,7,11,0,2,1,0,1,0,0,0,0,248,-3.1835502,55.9446833,0.0,32.1
1516188458286,2.1861467,3.6484964,6.5707197,23.6,47.2,77,95,81,44,11,10,1,3,6,1,0,0,0,0,0,0,329,-3.1835502,55.9446833,144.6999969482422,20.9
1516188479045,1.9864157,3.213925,3.4716952,23.7,46.4,73,92,84,50,11,5,6,1,0,0,0,0,0,0,0,0,322,-3.1835845,55.9446601,144.6999969482422,15.392
1516188499159,1.7981452,2.9677963,3.1364322,23.7,45.600002,62,95,72,59,10,11,5,0,0,0,0,0,0,0,0,0,314,-3.1835782,55.9446603,144.6999969482422,14.365
1516188519914,1.7130028,2.7461853,3.0895798,23.800001,45.0,64,107,68,39,10,12,3,3,0,0,0,0,0,0,0,0,306,-3.183596,55.9446544,144.6999969482422,14.95
1516188539404,1.5397683,2.4375558,2.5964537,23.9,44.600002,61,101,64,39,17,8,2,1,0,0,0,0,0,0,0,0,293,-3.1835966,55.944655,144.6999969482422,14.407
1516188560153,1.4104526,2.4207652,5.480113,24.0,44.3,53,89,60,41,14,11,5,5,0,0,0,1,0,0,0,0,279,-3.183565,55.9446775,144.6999969482422,19.819
1516188579601,1.7410285,2.947504,4.607291,24.0,44.0,60,100,77,63,12,9,7,1,1,0,1,0,0,0,0,0,331,-3.1835626,55.9446725,144.6999969482422,13.703
1516188600360,1.5340062,2.4834807,2.6655931,24.1,43.8,49,96,65,48,9,9,3,1,0,0,0,0,0,0,0,0,280,-3.1835634,55.9446706,144.6999969482422,12.92
1516188619177,1.6042063,2.5843198,3.5908546,24.1,43.600002,62,104,60,56,7,5,6,0,1,1,0,0,0,0,0,0,302,-3.1835682,55.944665,144.6999969482422,12.742
1516188639941,1.5568941,2.5042195,3.1418486,24.2,43.4,59,92,69,49,10,3,3,1,2,0,0,0,0,0,0,0,288,-3.1835747,55.9446607,138.10000610351563,19.694
1516188659399,1.7282854,2.8483543,3.1950605,24.300001,43.3,63,88,78,45,21,12,1,0,1,0,0,0,0,0,0,0,309,-3.1835502,55.9446833,138.10000610351563,20.0
1516188679509,1.6855469,2.7628846,3.2170749,24.300001,43.100002,71,100,59,63,15,7,4,1,1,0,0,0,0,0,0,0,321,-3.1835763,55.944669,138.10000610351563,19.772
1516188700269,1.7056048,2.7060103,2.7846751,24.4,42.9,65,89,86,55,10,4,2,0,0,0,0,0,0,0,0,0,311,-3.1835825,55.9446715,138.10000610351563,19.632
1516188719082,1.4996737,2.4423537,2.731242,24.4,42.8,62,86,67,47,8,4,6,2,0,0,0,0,0,0,0,0,282,-3.1835833,55.9446702,138.10000610351563,19.735
1516188739195,1.6490902,2.7043092,3.1806529,24.5,42.7,56,105,65,49,6,13,5,1,1,0,0,0,0,0,0,0,301,-3.18357,55.9446712,138.10000610351563,19.465
1516188759306,1.5025582,2.4342375,3.1879218,24.5,42.5,56,92,64,50,11,10,1,1,0,1,0,0,0,0,0,0,286,-3.1835826,55.9446713,138.10000610351563,19.594
1516188779416,1.6506017,2.682355,5.4857197,24.6,42.3,56,111,76,44,7,9,7,2,0,0,0,1,0,0,0,0,313,-3.1835502,55.9446833,138.10000610351563,20.0
1516188799527,1.5932441,2.6458313,2.7858067,24.6,42.2,64,89,78,64,14,7,5,0,0,0,0,0,0,0,0,0,321,-3.1835701,55.9446711,138.10000610351563,19.447
1516188819639,1.4602722,2.3488443,2.633753,24.7,42.100002,47,95,70,51,15,5,1,0,1,0,0,0,0,0,0,0,285,-3.183583,55.9446714,138.10000610351563,19.664
1516188839750,1.3691679,2.1632562,2.2900536,24.800001,42.0,48,83,64,37,13,4,1,1,0,0,0,0,0,0,0,0,251,-3.1835502,55.9446833,138.10000610351563,20.0
