phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy
1516564993057,1.8244475,2.218001,2.337328,NaN,NaN,249,49,24,9,3,1,1,1,0,0,0,0,0,0,0,0,337,-3.183583,55.9446728,138.10000610351563,19.873
1516565014329,1.6387594,2.0153677,5.1300073,21.9,39.7,226,48,17,12,2,0,1,1,1,0,2,0,0,0,0,0,310,-3.1835835,55.9446727,138.10000610351563,19.926
1516565033793,1.755835,2.1632822,2.377451,21.9,39.5,240,53,25,8,2,0,2,2,0,0,0,0,0,0,0,0,332,-3.1835721,55.9446718,138.10000610351563,19.487
1516565053912,1.6726935,1.983305,2.0193648,21.9,39.4,250,48,12,12,3,2,1,0,0,0,0,0,0,0,0,0,328,-3.1835748,55.9446687,138.10000610351563,19.488
1516565074015,1.633061,2.014014,2.8061266,21.9,39.3,229,50,17,8,2,3,3,0,0,1,0,0,0,0,0,0,313,-3.1835719,55.9446719,138.10000610351563,19.476
1516565095445,1.7656976,2.1240919,2.1812928,21.9,39.2,247,50,17,7,6,1,2,0,0,0,0,0,0,0,0,0,330,-3.1835522,55.9446819,138.10000610351563,20.0
1516565115779,1.6359781,2.0297978,2.620934,22.0,39.100002,230,41,19,9,4,4,0,0,2,0,0,0,0,0,0,0,309,-3.1835719,55.9446719,138.10000610351563,19.677
1516565135887,1.6567298,2.002852,2.061074,22.0,39.100002,231,50,19,7,1,3,2,0,0,0,0,0,0,0,0,0,313,-3.1835807,55.9446717,144.5,19.64
1516565156003,1.7600098,2.1201262,2.8410056,22.0,39.0,247,52,20,14,1,2,0,0,0,1,0,0,0,0,0,0,337,-3.1835771,55.9446729,144.5,19.625
1516565176111,1.7864102,2.1655512,2.2201338,22.0,39.0,249,50,22,10,3,1,2,0,0,0,0,0,0,0,0,0,337,-3.1836253,55.9446335,0.0,20.039
1516565196223,1.7404096,2.1024806,2.154949,22.0,39.0,243,52,22,9,2,1,2,0,0,0,0,0,0,0,0,0,331,-3.1835745,55.9446711,144.5,17.798
1516565217722,1.8365685,2.188169,2.2200315,22.0,38.9,256,55,28,4,0,2,1,0,0,0,0,0,0,0,0,0,346,-3.1835774,55.9446699,138.10000610351563,13.736
1516565236450,1.7342749,2.1783545,2.7468305,22.0,38.9,243,40,27,17,2,2,0,0,2,0,0,0,0,0,0,0,333,-3.1835764,55.9446701,0.0,20.842
1516565256559,1.6908623,2.0972004,2.8479786,22.0,38.8,233,41,28,8,4,2,1,0,0,1,0,0,0,0,0,0,318,-3.1835828,55.9446666,138.10000610351563,12.79
1516565276672,1.8115517,2.2939384,6.9675817,22.0,38.8,235,56,32,10,4,4,1,0,1,0,0,0,1,0,0,0,344,-3.183574,55.9446705,144.5,19.629
1516565296780,1.6958988,2.051219,2.0716684,22.0,38.8,253,39,20,13,4,3,0,0,0,0,0,0,0,0,0,0,332,-3.1835939,55.9446617,138.10000610351563,19.712
1516565316895,1.7842675,2.1393445,4.219884,22.0,38.7,261,48,20,8,0,3,1,0,0,1,1,0,0,0,0,0,343,-3.1835728,55.9446714,138.10000610351563,14.401
1516565337650,1.7518055,2.0945096,2.12634,22.0,38.7,239,45,25,5,2,1,1,0,0,0,0,0,0,0,0,0,318,-3.1836031,55.9446539,144.5,14.177
1516565358509,1.8048924,2.2016156,3.0041754,22.0,38.7,268,37,24,5,4,1,3,0,0,1,0,0,0,0,0,0,343,-3.1835868,55.9446658,144.5,12.841
1516565377229,1.8983338,2.3007166,2.3840845,22.0,38.600002,262,57,21,7,0,4,3,0,0,0,0,0,0,0,0,0,354,-3.1835818,55.9446687,144.5,12.741
1516565397337,1.7301325,2.1273046,2.2259574,22.0,38.600002,238,48,25,14,2,2,0,1,0,0,0,0,0,0,0,0,330,-3.1835721,55.9446717,144.5,19.49
1516565417451,1.8426019,2.274879,3.0429187,22.0,38.600002,262,42,31,7,1,3,2,0,0,1,0,0,0,0,0,0,349,-3.183576,55.9446718,144.5,19.832
