,phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy,luxLevel,motion,label
0,1517878946547,1.5973159,3.3184733,24.422767999999998,26.0,34.100002,58,27,17,13,4,6,6,8,4,2,1,0,1,0,0,0,147,-3.1836589,55.944534,164.23447420732163,32.0,0,2,0
1,1517878954980,1.4042435,2.9235162999999997,37.007748,26.0,34.100002,53,24,11,18,2,7,7,2,4,4,1,0,1,1,0,0,135,-3.1836589,55.944534,164.23447420732163,32.0,0,39,0
2,1517878963418,1.4300443,2.8978221,25.517294,26.0,34.100002,59,19,20,10,4,8,7,4,1,5,0,2,0,0,0,0,139,-3.1836589,55.944534,164.23447420732163,32.0,0,35,0
3,1517878972502,1.3269358999999998,3.2173382999999998,20.292348999999998,26.0,34.100002,54,14,15,15,6,9,12,4,3,4,0,1,0,0,0,0,137,0.0,0.0,0.0,0.0,0,117,0
4,1517878981580,1.451386,2.9497395,32.615520000000004,26.0,34.100002,51,23,16,9,10,6,6,3,2,4,1,1,1,0,0,0,133,0.0,0.0,0.0,0.0,0,103,0
5,1517878990665,1.48994,3.2647095,41.924076,26.0,34.100002,58,16,23,13,5,8,13,2,3,2,2,1,1,1,0,0,148,0.0,0.0,0.0,0.0,0,6,0
6,1517878999748,1.4993199,3.2674067000000004,32.286972,26.0,34.100002,71,21,14,15,8,11,12,1,5,3,0,2,0,0,0,1,164,0.0,0.0,0.0,0.0,0,0,0
7,1517879008183,1.5496646,3.0449424,24.832033,26.0,34.100002,62,26,18,8,4,7,12,3,2,1,0,0,0,1,0,1,145,0.0,0.0,0.0,0.0,0,43,0
8,1517879017264,1.5822586,3.0227772999999996,41.69277,26.0,34.2,68,21,17,11,4,9,12,2,0,0,0,1,3,0,0,0,148,0.0,0.0,0.0,0.0,3,264,0
9,1517879025698,1.2062596,2.3792703,4.6210375,26.0,34.2,47,19,11,12,1,8,3,7,1,0,0,0,0,0,0,0,109,0.0,0.0,0.0,0.0,0,185,0
10,1517879034780,1.5443441,3.2616477,43.593655,26.0,34.2,62,24,20,11,9,7,10,3,1,8,1,1,1,0,0,1,159,0.0,0.0,0.0,0.0,0,120,0
11,1517879043863,1.3979081,2.8637562,30.874681,26.0,34.2,66,16,13,12,2,8,4,9,2,1,1,0,1,0,1,0,136,0.0,0.0,0.0,0.0,0,1885,0
12,1517879052296,1.5882608,3.1908677000000005,16.699982000000002,26.0,34.2,67,23,15,12,8,12,5,7,0,3,0,1,0,0,0,0,153,0.0,0.0,0.0,0.0,0,238,0
13,1517879061379,1.5898035,3.375137,14.49869,26.0,34.2,63,18,25,11,7,9,5,6,6,2,1,0,0,0,0,0,153,0.0,0.0,0.0,0.0,0,120,0
14,1517879070462,1.3506796,2.8044126,38.32584,26.0,34.2,62,24,11,14,3,9,7,5,3,3,0,2,0,0,0,2,145,0.0,0.0,0.0,0.0,0,5,0
15,1517879079541,1.3936666000000002,2.5641985000000003,15.622019,26.0,34.2,68,24,10,12,0,9,7,4,1,1,0,0,0,1,0,0,137,0.0,0.0,0.0,0.0,0,66,0
16,1517879089276,1.3226331,2.5860844,19.923582,25.9,31.4,59,24,9,9,4,8,8,2,3,1,1,0,1,0,0,0,129,0.0,0.0,0.0,0.0,0,723,0
17,1517879097709,1.4485033,3.0091329,25.93215,25.9,31.4,52,22,19,12,5,7,6,7,2,2,0,1,1,0,0,0,136,0.0,0.0,0.0,0.0,2,1071,0
18,1517879106792,1.3338301000000001,2.7209785,30.790003000000002,25.9,31.4,60,18,15,10,7,6,8,5,1,2,0,2,1,0,0,0,135,0.0,0.0,0.0,0.0,5,447,0
19,1517879115874,1.6538433000000001,3.1401124,38.00864,25.9,31.4,67,24,17,14,8,3,8,3,2,3,0,1,1,1,0,0,152,0.0,0.0,0.0,0.0,0,269,0
20,1517879143122,1.4824097,2.990887,24.933949,25.9,31.4,54,20,13,12,4,11,4,2,4,2,1,0,1,0,0,0,128,0.0,0.0,0.0,0.0,1,1374,4
21,1517879155450,2.18555,4.5698385,34.126404,25.9,31.4,88,25,22,20,8,8,16,6,1,3,1,1,1,0,0,0,200,0.0,0.0,0.0,0.0,1,691,4
22,1517879160638,3.9168136,6.7643843,29.312695,25.9,31.4,160,59,39,33,17,13,11,3,4,3,0,2,0,0,0,0,344,0.0,0.0,0.0,0.0,0,1575,4
23,1517879169724,3.101534,5.465257599999999,66.04862,25.9,32.100002,123,40,47,19,6,17,7,7,1,1,2,2,1,2,0,1,276,0.0,0.0,0.0,0.0,1,1803,4
24,1517879197617,4.246064,6.553555,14.894569,25.9,32.100002,154,64,59,48,6,3,5,2,0,3,1,0,0,0,0,0,345,0.0,0.0,0.0,0.0,1,1645,4
25,1517879206700,5.77605,9.383604,22.623713000000002,25.9,32.100002,199,89,91,48,19,15,8,6,1,1,1,1,0,0,0,0,479,0.0,0.0,0.0,0.0,0,1449,4
26,1517879217079,5.611931299999999,9.257585,19.07874,25.9,32.100002,207,79,82,52,24,19,10,4,1,0,0,0,0,0,0,1,479,0.0,0.0,0.0,0.0,0,920,4
27,1517879224865,5.5035763,8.174662,21.481195,25.9,32.100002,226,88,60,47,19,9,3,3,0,1,1,0,0,0,0,1,458,0.0,0.0,0.0,0.0,0,1747,4
28,1517879233947,5.8233986,9.181742,25.775745,25.9,32.100002,217,87,76,52,16,17,9,1,1,1,0,2,0,0,0,0,479,0.0,0.0,0.0,0.0,0,1160,4
29,1517879448038,0.0,-107479040.0,2.0018938000000004e-15,77.1,778.5,62646,16814,54918,22596,12377,12592,22,0,0,0,0,0,0,0,0,0,181965,0.0,8.726634979248049,0.0,,0,0,4
30,1517879475167,6.2416515,9.970419999999999,17.873920000000002,0.0,0.0,237,81,76,64,25,14,9,1,1,2,1,0,0,0,0,0,511,0.0,0.0,0.0,0.0,3,917,4
31,1517879481406,4.5038276,7.701728,28.479795000000003,0.0,0.0,186,63,58,34,13,22,13,3,1,4,2,1,0,0,0,0,400,0.0,0.0,0.0,0.0,3,902,4
32,1517879489205,4.102398,6.614803299999999,11.045283999999999,0.0,0.0,149,58,56,26,10,12,7,2,3,1,0,0,0,0,0,0,324,0.0,0.0,0.0,0.0,4,1461,4
33,1517879497443,3.174296,5.182663400000001,20.760962,27.300001,35.7,116,48,46,13,6,6,5,7,2,1,1,0,0,0,0,1,252,0.0,0.0,0.0,0.0,5,1290,4
