phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy,luxLevel,motion
1518048002692,77.15325,88.4351,89.24412,26.1,35.7,6014,1193,420,92,10,13,1,0,1,0,0,0,0,0,0,0,7744,-3.1835156,55.9446729,138.0,20.976,10,0
1518048011776,74.61674,85.65184,86.136314,26.1,35.7,6117,1207,428,102,18,7,3,1,0,0,0,0,0,0,0,0,7883,-3.1835277,55.944677,138.0,20.948,10,0
1518048020857,74.96031,86.07846,86.75565,26.1,35.7,5819,1115,420,78,15,11,3,2,0,0,0,0,0,0,0,0,7463,-3.1835189,55.9446851,138.0,20.955,10,0
1518048029940,76.6621,87.804405,88.27458,26.2,35.8,5940,1178,424,88,7,5,3,1,0,0,0,0,0,0,0,0,7646,-3.1835139,55.9446725,138.0,20.958,10,0
1518048039022,73.61574,84.686775,88.3954,26.2,35.8,6064,1195,446,96,16,3,2,4,1,0,1,0,0,0,0,0,7828,-3.1835309,55.9446762,138.0,20.942,10,0
1518048048105,74.00882,85.2133,85.7612,26.2,35.8,5790,1274,434,92,8,7,5,1,0,0,0,0,0,0,0,0,7611,-3.1835239,55.9446852,138.0,20.975,10,0
1518048056541,73.928314,84.592705,85.15978,26.2,35.8,5454,1096,375,67,14,5,5,1,0,0,0,0,0,0,0,0,7017,-3.183503,55.9446937,138.0,22.102,10,0
1518048065621,74.282585,85.19175,85.98225,26.2,35.8,5945,1211,437,70,10,5,4,3,0,0,0,0,0,0,0,0,7685,-3.183521,55.9446849,138.0,20.935,10,0
1518048075353,72.67899,83.12636,83.58352,26.2,35.8,5969,1128,407,96,7,6,3,1,0,0,0,0,0,0,0,0,7617,-3.183521,55.9446849,138.0,20.935,10,0
1518048084435,74.255646,84.82524,85.11335,26.2,35.8,5892,1169,384,96,13,7,2,0,0,0,0,0,0,0,0,0,7563,-3.1834886,55.9446855,138.0,22.069,10,0
1518048093521,73.50117,84.11246,84.39011,26.2,35.8,5363,1072,373,85,8,5,2,0,0,0,0,0,0,0,0,0,6908,-3.183522,55.9446852,138.0,20.982,10,0
1518048101951,76.401436,87.64307,88.28816,26.2,35.8,5796,1175,402,88,13,11,2,2,0,0,0,0,0,0,0,0,7489,-3.1835169,55.9446733,138.0,20.977,10,0
1518048110385,78.321495,90.01662,96.795616,26.2,35.8,5590,1126,414,87,10,6,2,2,0,0,0,1,0,0,0,0,7238,-3.183513,55.944673,138.0,22.05,10,0
1518048118819,75.23825,87.03847,90.59993,26.2,35.8,5591,1140,434,88,16,9,6,2,0,2,0,0,0,0,0,0,7288,-3.1835207,55.9446843,138.0,20.961,10,0
1518048127902,72.54449,83.297005,83.966835,26.2,35.8,5339,1105,388,72,7,10,3,2,0,0,0,0,0,0,0,0,6926,-3.183517,55.944685,138.0,22.046,10,0
1518048135687,69.61744,79.84115,81.52263,26.2,35.8,5533,1117,379,86,10,11,4,0,0,1,0,0,0,0,0,0,7141,-3.1835133,55.9446723,138.0,20.953,10,0
1518048144770,73.03838,83.61758,84.31264,26.2,35.8,5569,1087,360,97,13,6,4,2,0,0,0,0,0,0,0,0,7138,-3.1835202,55.944685,138.0,20.953,10,0
1518048153203,73.57507,84.37561,91.221825,26.2,35.8,5315,1083,361,97,8,6,1,3,0,0,0,1,0,0,0,0,6875,-3.1835012,55.9446941,138.0,22.046,10,0
1518048161638,74.931465,85.804634,86.190506,26.2,35.8,5618,1163,383,90,13,2,5,0,0,0,0,0,0,0,0,0,7274,-3.1835153,55.9446731,138.0,22.051,10,0
1518048170719,75.47128,86.42487,94.510635,26.2,35.8,5632,1157,393,78,12,6,2,0,1,1,0,1,0,0,0,0,7283,-3.183514,55.9446732,138.0,22.054,10,0
1518048179153,72.68113,83.448875,92.744835,26.2,35.9,5316,1083,391,81,7,7,2,1,0,0,0,0,1,0,0,0,6889,-3.1835213,55.9446853,138.0,20.911,10,0
1518048187587,72.36424,83.01554,85.352,26.2,35.9,5409,1093,370,78,9,5,5,2,3,0,0,0,0,0,0,0,6974,-3.1835139,55.9446729,138.0,20.961,10,0
1518048196669,72.57962,83.42383,92.89401,26.2,35.9,5496,1071,408,88,18,4,1,0,1,0,0,0,0,1,0,0,7088,-3.1835187,55.9446842,138.0,20.888,10,0
1518048205753,71.07318,81.70216,84.91773,26.2,35.9,5660,1095,393,96,15,6,6,2,0,0,1,0,0,0,0,0,7274,-3.1834868,55.9446898,138.0,21.241,10,0
1518048214186,71.066216,81.60544,82.16833,26.2,35.9,5283,1101,388,82,6,7,1,2,0,0,0,0,0,0,0,0,6870,-3.1834916,55.9446862,138.0,22.081,10,0
1518048223268,72.17987,82.49102,86.82488,26.2,35.9,5417,1071,382,68,11,4,0,1,0,1,1,0,0,0,0,0,6956,-3.1835202,55.9446848,138.0,21.99,10,0
1518048231702,72.54006,83.498276,83.8849,26.2,35.9,5326,1061,423,78,15,1,1,1,0,0,0,0,0,0,0,0,6906,-3.1835145,55.9446726,138.0,21.94,10,0
1518048240784,72.00207,82.23212,82.66712,26.2,35.9,5627,1100,378,75,12,7,2,1,0,0,0,0,0,0,0,0,7202,-3.1835115,55.9446728,138.0,21.929,10,0
1518048249867,71.22503,81.58205,83.466484,26.2,35.7,5578,1107,392,79,7,9,1,2,0,1,0,0,0,0,0,0,7176,-3.1833312,55.9447014,138.0,20.111,10,0
1518048258950,70.47372,80.413994,82.072395,26.2,35.7,5480,1057,362,75,9,6,3,0,0,1,0,0,0,0,0,0,6993,-3.183516,55.9446733,138.0,20.645,10,0
