phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy,luxLevel,motion
1518481536478,101.7331,185.72174,513.7639,0.0,0.0,2520,1392,1039,747,361,362,213,151,52,37,22,3,1,1,1,1,6903,-3.183426,55.9446797,138.0,21.27,29,0
1518481545558,95.40817,174.10806,536.21783,0.0,0.0,2456,1321,1018,754,310,318,204,156,55,44,15,9,3,1,0,0,6664,-3.1835403,55.9446766,138.0,19.932,29,0
1518481553994,105.39391,193.82457,678.989,0.0,0.0,2997,1652,1264,915,403,381,256,207,78,54,22,13,6,1,1,2,8252,-3.1835333,55.9446775,138.0,20.009,29,0
1518481563076,107.341034,195.1525,516.51385,0.0,0.0,3353,1731,1356,983,435,465,286,182,78,31,16,9,4,0,1,0,8930,-3.1835062,55.9446737,144.5,21.012,29,0
1518481571511,114.7756,208.98009,696.83813,22.300001,32.4,3573,1878,1528,1097,474,497,274,207,87,52,28,9,10,3,1,0,9718,-3.1835075,55.9446745,144.5,19.973,29,0
1518481579944,202.97804,376.80545,1032.1814,22.300001,32.4,5174,3649,3032,2182,967,904,552,321,119,82,37,23,4,2,1,2,17051,-3.1835017,55.9446742,138.0,21.945,20,1055
1518481588380,134.65596,240.9704,655.3502,22.300001,32.4,3676,2344,1688,1161,561,538,311,192,74,50,19,11,3,2,0,3,10633,-3.1835017,55.9446742,138.0,21.945,3,2300
1518481598111,144.93466,254.81517,724.398,22.300001,32.4,4426,2658,1984,1408,606,623,335,178,78,52,23,13,8,1,3,2,12398,-3.1835017,55.9446742,138.0,21.945,5,1008
1518481606541,126.11681,226.86804,570.322,22.300001,32.4,3914,2190,1700,1221,538,569,315,211,72,41,14,8,4,2,1,1,10801,-3.1835017,55.9446742,138.0,21.945,6,0
1518481615624,111.432304,200.91872,673.1227,22.300001,32.4,3609,2128,1596,1135,505,530,278,185,93,59,30,12,5,1,4,4,10174,-3.1835017,55.9446742,138.0,21.945,7,0
1518481624059,158.25568,286.744,874.3419,22.300001,32.4,5155,3100,2287,1736,746,768,466,267,95,78,29,20,7,4,3,2,14763,-3.1835017,55.9446742,138.0,21.945,8,11
1518481634439,131.20792,234.49858,631.4048,22.300001,32.4,4306,2564,1864,1321,573,590,348,245,76,66,14,12,5,0,1,3,11988,-3.1835017,55.9446742,138.0,21.945,8,2
1518481642873,138.11398,250.39087,579.69574,24.7,37.5,4304,2546,1958,1347,648,643,362,242,102,54,12,7,4,0,0,0,12229,-3.1835017,55.9446742,138.0,21.945,8,0
1518481650658,172.96118,310.6619,868.7989,24.7,37.5,5515,3454,2476,1827,747,828,443,313,116,78,29,20,5,3,0,2,15856,-3.1835017,55.9446742,138.0,21.945,8,4
1518481659741,169.43619,306.67374,1016.75183,24.7,37.5,5298,3447,2525,1783,785,750,464,319,133,87,37,23,7,6,4,4,15672,-3.1835017,55.9446742,138.0,21.945,8,10
1518481669472,183.14389,327.64487,984.7779,24.7,37.5,5716,3788,2832,1928,841,836,514,284,123,79,45,18,11,4,2,2,17023,-3.1835017,55.9446742,138.0,21.945,6,1
1518481677906,188.27328,332.54318,787.10583,24.7,37.5,5741,3624,2796,1912,828,793,443,264,122,71,18,12,3,0,1,5,16633,-3.1835017,55.9446742,138.0,21.945,7,0
1518481686339,210.52145,368.8898,925.7018,24.7,37.5,6324,4330,3272,2139,873,902,490,307,115,74,43,14,6,2,1,2,18894,-3.1835017,55.9446742,138.0,21.945,7,2
1518481697369,265.46124,481.55072,1341.2065,24.7,37.5,7213,5628,4461,3065,1355,1249,668,399,182,133,48,19,13,7,1,4,24445,-3.1835017,55.9446742,138.0,21.945,9,0
1518481704505,319.7438,587.18823,1502.076,24.7,37.5,8061,7049,5664,3992,1753,1589,804,542,201,138,49,32,13,1,3,1,29892,-3.1835017,55.9446742,138.0,21.945,8,13
1518481713589,280.78564,497.47467,1079.1993,24.7,37.5,8254,6494,5026,3432,1483,1332,689,428,142,102,35,8,13,3,0,0,27441,-3.1835017,55.9446742,138.0,21.945,9,1
1518481722670,268.78574,470.49234,1019.65845,29.5,34.100002,7912,6098,4528,3042,1283,1194,625,404,132,77,28,17,5,4,1,2,25352,-3.1835017,55.9446742,138.0,21.945,8,1
1518481733699,274.68793,486.4207,1168.4012,29.5,34.100002,7662,5844,4673,3199,1286,1213,636,374,138,102,33,25,11,2,0,1,25199,-3.1835017,55.9446742,138.0,21.945,7,0
1518481741482,302.31863,529.75397,1137.121,29.5,34.100002,8212,6681,5172,3513,1437,1277,670,394,128,88,38,16,5,2,1,6,27640,-3.1835017,55.9446742,138.0,21.945,7,0
1518481749269,305.96143,536.6146,1089.3398,29.5,34.100002,8264,7233,5497,3606,1398,1347,739,421,147,87,31,12,8,2,2,0,28794,-3.1835017,55.9446742,138.0,21.945,7,0
1518481757703,361.00986,654.17285,1607.674,29.5,34.100002,8372,8458,6857,4713,1979,1696,895,489,215,117,49,43,13,5,1,2,33904,-3.1835017,55.9446742,138.0,21.945,6,0
1518481768081,428.937,818.9653,2237.5474,29.5,34.100002,7813,10379,9297,6762,2842,2396,1209,676,296,230,77,50,23,8,3,7,42068,-3.1835017,55.9446742,138.0,21.945,8,0
1518481777164,403.65936,755.8181,1853.2834,29.5,34.100002,8246,9938,8703,6245,2618,2148,1121,650,238,158,61,31,26,5,2,5,40195,-3.1835017,55.9446742,138.0,21.945,8,0
1518481784304,423.73352,799.3671,1597.0807,29.5,34.100002,7837,9539,8640,6456,2672,2343,1124,551,213,102,38,20,13,4,0,3,39555,-3.1835017,55.9446742,138.0,21.945,8,1
1518481795331,408.60867,744.83636,1491.2805,34.4,27.800001,8378,9694,8093,5651,2243,2007,978,557,184,104,41,20,5,6,3,3,37967,-3.1835017,55.9446742,138.0,21.945,9,0
1518481803114,387.93762,740.8743,1645.2065,34.4,27.800001,7795,9000,8492,6303,2794,2289,1187,588,187,122,54,30,11,9,1,4,38866,-3.1835017,55.9446742,138.0,21.945,8,0
1518481812847,487.6702,999.97345,2622.715,34.4,27.800001,6149,11172,11869,9626,4411,3538,1620,808,354,211,101,49,22,12,7,17,49966,-3.1835017,55.9446742,138.0,21.945,8,0
