phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy,luxLevel,motion
1519519229538,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1839008,55.9447891,112.74387362490913,10.0,0,981
1519519236027,6.303352,8.444028,8.656659,0.0,0.0,218,54,49,22,9,1,2,0,0,0,0,0,0,0,0,0,355,-3.1838164,55.9447811,113.67382041736296,10.0,0,736
1519519244465,6.8943396,9.410954,18.441984,0.0,0.0,256,74,62,30,8,3,3,1,0,0,0,1,0,0,0,0,438,-3.1834468,55.944732,117.09597018419016,10.0,0,3527
1519519252249,6.9120946,10.230128,13.553614,0.0,0.0,238,76,54,32,11,13,8,2,0,1,0,0,0,0,0,0,435,-3.1833406,55.9447183,121.36161305175287,10.0,0,2638
1519519261328,7.0172586,10.041039,35.621235,0.0,0.0,261,92,55,40,16,11,4,1,1,0,0,0,2,0,0,0,483,-3.1830482,55.9447606,126.83415362136644,10.0,0,3090
1519519269116,7.289016,9.9249,20.791101,0.0,0.0,281,91,53,23,5,12,4,2,0,0,0,0,0,0,0,1,472,-3.1827731,55.9448241,129.9393093324656,10.0,0,3487
1519519277552,7.404378,10.517009,12.881982,16.300001,27.2,268,86,62,33,19,6,3,2,2,0,0,0,0,0,0,0,481,-3.1827473,55.9448287,131.66712256116128,10.0,0,2734
1519519285334,6.740924,9.548533,12.334373,16.300001,27.2,256,80,49,27,14,10,6,1,0,1,0,0,0,0,0,0,444,-3.182746,55.9448289,132.19387920767042,10.0,0,3087
1519519293765,6.9667397,9.578741,10.534768,16.300001,27.2,258,78,59,28,8,6,2,3,0,0,0,0,0,0,0,0,442,-3.182447,55.9448344,135.1823301993874,10.0,1,2962
1519519301555,7.4555554,10.581978,13.811961,16.300001,27.2,271,91,54,32,8,15,4,3,0,1,0,0,0,0,0,0,479,-3.1821742,55.9448708,138.6927193091351,10.0,0,2220
