phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy,luxLevel,motion
1519669175305,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1866929,55.9444532,164.60000610351563,21.754,8,1102
1519669182442,1.0261897,1.7066568,16.971594,0.0,0.0,27,9,6,8,2,1,3,0,0,0,0,0,0,0,1,0,57,-3.1866968,55.9444577,164.60000610351563,15.325,11,8
1519669190879,1.0681331,1.7950574,2.7257214,0.0,0.0,34,9,14,7,1,4,2,0,1,0,0,0,0,0,0,0,72,-3.1866768,55.9444583,164.60000610351563,18.248,12,0
1519669198658,0.9122234,1.553404,2.3198583,0.0,0.0,39,9,5,3,1,2,4,2,0,0,0,0,0,0,0,0,65,-3.1866988,55.9444601,164.60000610351563,18.903,12,0
1519669206441,1.0703517,1.6438602,3.3563907,0.0,0.0,54,5,9,4,1,0,3,0,2,0,0,0,0,0,0,0,78,-3.1866902,55.9444511,164.60000610351563,18.343,12,0
1519669215519,1.1182374,1.7058774,9.898039,0.0,0.0,41,8,14,10,1,2,1,0,0,0,0,1,0,0,0,0,78,-3.1867392,55.9444501,164.60000610351563,18.543,15,183
1519669223954,1.267774,2.0115683,2.3880427,22.2,26.1,41,13,19,3,2,4,2,1,0,0,0,0,0,0,0,0,85,-3.1867049,55.9444594,164.60000610351563,56.362,20,0
1519669234344,1.311619,2.1381106,2.6252117,22.2,26.1,50,18,15,9,3,2,5,1,0,0,0,0,0,0,0,0,103,-3.1867416,55.9444505,164.60000610351563,18.537,20,0
1519669242768,1.1288242,1.6359361,1.7759497,22.2,26.1,45,21,7,7,2,3,2,0,0,0,0,0,0,0,0,0,87,-3.1866902,55.9444604,164.60000610351563,56.815,20,0
1519669249904,0.9924662,1.6569438,2.6329799,22.2,26.1,45,13,4,8,5,2,4,0,1,0,0,0,0,0,0,0,82,-3.1867225,55.9444511,164.60000610351563,18.426,19,26
1519669258987,1.20251,1.860717,10.9425335,22.2,26.1,59,15,11,6,0,2,3,3,0,0,0,0,0,0,0,1,100,-3.1867011,55.9444511,164.60000610351563,18.3,20,0
1519669268072,1.218656,1.6689072,1.9889525,22.2,26.1,63,13,9,5,1,0,2,1,0,0,0,0,0,0,0,0,94,-3.1866914,55.9444584,164.60000610351563,18.162,20,0
1519669277155,0.96005845,1.411681,2.1302602,22.2,26.1,40,12,12,4,2,1,1,0,1,0,0,0,0,0,0,0,73,-3.1867432,55.9444598,164.60000610351563,56.803,20,6
1519669285590,1.2484968,1.7830608,1.881701,22.2,26.1,53,16,12,5,2,4,1,0,0,0,0,0,0,0,0,0,93,-3.1867224,55.9444516,164.60000610351563,18.507,20,2
1519669295322,1.0339936,1.5408683,1.7668191,22.0,24.7,46,14,9,3,2,1,4,0,0,0,0,0,0,0,0,0,79,-3.186707,55.9444504,164.60000610351563,18.351,20,0
1519669303752,1.1139146,1.8041711,4.9397507,22.0,24.7,53,15,8,5,3,1,2,3,1,1,0,0,0,0,0,0,92,-3.1866886,55.9444532,164.60000610351563,14.016,20,2
1519669311556,1.0946165,1.7252277,3.6420124,22.0,24.7,47,14,11,5,2,4,3,0,0,1,0,0,0,0,0,0,87,-3.1866955,55.9444514,0.0,16.016,20,1
1519669320025,1.1289067,1.8650233,4.6709337,22.0,24.7,52,11,12,4,5,2,3,1,1,1,0,0,0,0,0,0,92,-3.1867286,55.9444537,164.60000610351563,15.444,20,0
1519669327755,0.95917773,1.4753888,9.628941,22.0,24.7,49,11,8,1,2,3,3,0,1,0,0,1,0,0,0,0,79,-3.1867271,55.9444548,164.60000610351563,13.84,20,0
1519669336875,0.7898575,1.0575483,1.1364704,22.0,24.7,46,13,2,2,2,3,1,0,0,0,0,0,0,0,0,0,69,-3.1867369,55.9444548,164.60000610351563,12.394,20,0
1519669344624,1.104206,1.8026645,4.052296,22.0,24.7,55,9,12,5,3,4,2,2,0,1,0,0,0,0,0,0,93,-3.1867587,55.9444536,164.60000610351563,11.253,20,1
1519669353059,1.1116332,1.8157166,4.295454,22.0,24.7,50,15,10,5,3,1,3,3,0,1,0,0,0,0,0,0,91,-3.1867664,55.9444528,164.60000610351563,10.791,20,2
1519669361495,0.9859168,1.5586892,2.555448,22.0,24.7,43,14,8,7,2,2,2,1,1,0,0,0,0,0,0,0,80,-3.1867636,55.9444531,164.60000610351563,12.493,20,4
1519669369926,0.8702346,1.6247333,3.8158247,21.9,24.4,42,7,11,5,3,2,5,0,3,0,0,0,0,0,0,0,78,-3.1867326,55.9444548,164.60000610351563,12.508,20,0
