phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy,luxLevel,motion
1519818111545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1838634,55.9446192,171.590448900799,10,103,7830
1519818118683,4.213859,5.9714446,66.68872,0,0,127,44,24,12,4,5,2,1,1,1,0,3,0,0,0,2,226,-3.1839097,55.9446866,169.867505199447,10,123,2275
1519818126464,4.3853955,6.536373,73.19509,0,0,143,44,25,24,7,2,5,1,3,0,0,1,2,0,0,2,259,-3.1839548,55.9447369,169.451255239131,10,151,2410
1519818134251,3.374385,5.620153,104.75716,0,0,74,34,30,16,2,5,2,2,4,1,2,2,1,2,0,1,178,-3.1840166,55.9448019,169.213884259637,10,116,3125
1519818142689,3.8571925,5.6209164,11.008751,0,0,115,48,35,14,5,2,1,4,0,2,0,0,0,0,0,0,226,-3.1840402,55.9449374,169.436063305054,10,142,3088
1519818151123,3.6797023,5.355231,29.286295,0,0,132,46,31,11,9,7,2,2,1,0,0,0,1,0,0,1,243,-3.1841804,55.9450483,167.569302880589,10,178,3270
1519818158906,3.568998,5.442482,6.7142177,17.800001,18.6,96,41,40,15,5,3,6,0,1,0,0,0,0,0,0,0,207,-3.1842869,55.9451466,165.309475899425,10,160,3476
1519818167339,2.7354672,4.213542,4.7008324,17.800001,18.6,67,42,24,17,4,8,2,1,0,0,0,0,0,0,0,0,165,-3.1843372,55.9451952,162.734178929018,10,186,2574
1519818177067,3.0178998,4.844858,7.198508,17.800001,18.6,84,46,27,21,5,7,4,2,2,0,0,0,0,0,0,0,198,-3.1844335,55.9452584,159.043228040284,10,111,4060
1519818184210,3.66832,5.936954,20.861368,17.800001,18.6,83,59,48,18,10,6,6,3,0,1,0,0,1,0,0,0,235,-3.1844647,55.9452788,155.938173481517,10,150,4014
1519818192639,3.082303,5.13762,8.376169,17.800001,18.6,86,40,33,24,1,7,6,2,3,0,0,0,0,0,0,0,202,-3.1844883,55.9453428,153.754113104148,10,128,3052
1519818200425,3.9580374,6.194991,20.891037,17.800001,18.6,98,54,47,29,10,2,5,1,0,1,1,1,0,0,0,0,249,-3.18451,55.9454478,154.242188425011,10,119,3749
1519818208211,4.177245,5.9600935,6.9754276,17.800001,18.6,150,46,41,21,8,3,3,0,1,0,0,0,0,0,0,0,273,-3.1846346,55.9456374,156.618134742295,10.473,90,3767
1519818216692,4.0976834,6.166381,17.171879,17.800001,18.6,136,58,50,26,8,3,5,0,2,1,0,1,0,0,0,0,290,-3.1846493,55.9456649,158.812804951845,12.188,151,3522
1519818225080,3.6688347,5.5007844,55.23456,12.6,24.4,118,51,40,21,6,7,2,2,0,1,1,0,0,2,1,1,253,-3.184816,55.9457838,160.964122064857,10,208,4258
1519818234163,4.230843,6.3843713,9.383451,12.6,24.4,126,80,42,21,10,6,8,0,1,1,0,0,0,0,0,0,295,-3.1849694,55.9458756,159.509144803058,10,238,4539
1519818242599,3.723536,5.816302,9.997921,12.6,24.4,99,59,51,15,6,5,9,1,0,0,1,0,0,0,0,0,246,-3.185166,55.9460231,158.205351609114,10,260,3411
1519818250383,3.62986,5.6678476,18.984602,12.6,24.4,112,50,35,23,9,12,4,0,1,0,0,0,1,0,0,0,247,-3.1853509,55.9461758,156.807205290416,10,213,4543
1519818258164,3.330464,5.189523,9.702655,12.6,24.4,77,55,32,23,1,6,6,1,0,0,1,0,0,0,0,0,202,-3.1853807,55.9463047,154.032113246229,10,193,4051
1519818266639,2.9653275,4.5866637,5.7791047,12.6,24.4,81,44,34,16,6,8,2,1,1,0,0,0,0,0,0,0,193,-3.1854241,55.9463938,153.412708677871,10,256,3370
1519818275042,2.822876,4.5320597,6.4720645,12.6,24.4,63,41,35,18,7,7,1,1,2,0,0,0,0,0,0,0,175,-3.1855459,55.9465481,153.084974618142,10,275,4093
1519818283469,3.0023656,5.0866623,14.902212,12.6,24.4,76,46,34,25,10,7,2,7,0,0,0,1,0,0,0,0,208,-3.185631,55.9466647,153.780075008686,10.06,287,4532
1519818292546,2.4993393,4.034806,5.6599517,12.6,24.4,54,43,17,19,8,3,3,2,1,0,0,0,0,0,0,0,150,-3.1857722,55.9468027,154.320598616265,10,307,4738
1519818300335,3.0481508,5.305697,24.271936,7.7000003,31,66,47,31,26,7,3,9,2,1,2,0,0,0,1,0,0,195,-3.1858276,55.9468667,155.257975461287,10,215,3822
1519818309413,3.593775,5.650176,6.2049847,7.7000003,31,90,53,35,22,6,8,7,0,0,0,0,0,0,0,0,0,221,-3.1858112,55.9469587,156.800039139415,10.04,323,4591
1519818317198,3.2070444,5.551465,10.029332,7.7000003,31,95,44,23,30,8,5,9,4,1,1,0,0,0,0,0,0,220,-3.1858406,55.9470447,159.525239414657,11.412,287,4689
1519818324985,3.3911624,5.5516086,6.876749,7.7000003,31,67,49,42,18,9,5,4,4,0,0,0,0,0,0,0,0,198,-3.1859456,55.9471702,159.459486391468,10,197,3418
1519818333421,3.8887415,5.7449536,8.40369,7.7000003,31,90,56,35,17,6,7,1,1,0,1,0,0,0,0,0,0,214,-3.1861376,55.9473477,158.626522989765,10,147,4892
