phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy,luxLevel,motion
1519764310984,2.6773572,5.256157,28.391436,0,0,55,18,29,16,2,8,8,4,0,2,1,1,0,0,0,0,144,-3.1835347,55.9447077,0,10.287,4,1308
1519764318766,2.4985652,4.196884,10.099151,0,0,47,32,25,17,3,5,4,1,1,0,1,0,0,0,0,0,136,-3.183522,55.9447206,0,10.282,5,115
1519764326551,2.8474433,4.9314866,17.32134,0,0,54,32,31,12,7,5,5,3,1,0,0,1,0,0,0,0,151,-3.1835091,55.9447314,0,10.314,5,39
1519764334985,2.9266481,5.500852,21.778944,0,0,70,36,35,20,11,6,10,5,2,0,0,0,1,0,0,0,196,NaN,NaN,0,NaN,6,1442
1519764343423,3.2593691,6.1973357,27.681925,0,0,84,39,40,14,8,13,18,1,1,1,0,2,0,0,0,0,221,NaN,NaN,0,NaN,8,344
1519764351205,3.1374893,5.875744,12.092016,22.4,38.7,81,42,27,22,11,7,9,7,2,1,0,0,0,0,0,0,209,NaN,NaN,0,NaN,7,58
1519764360286,2.9223366,5.854107,27.827888,22.4,38.7,76,38,21,21,7,16,13,4,2,0,1,0,0,1,0,0,200,NaN,NaN,0,NaN,7,28
1519764371316,3.024351,6.087225,39.713444,22.4,38.7,71,41,31,24,10,15,9,6,4,0,2,1,0,0,1,0,215,NaN,NaN,0,NaN,3,1113
1519764378452,2.7139852,5.3427896,26.214062,22.4,38.7,65,35,27,19,8,8,10,5,2,2,1,1,0,0,0,0,183,NaN,NaN,0,NaN,5,2246
1519764383640,3.1954212,7.039403,52.495068,22.4,38.7,83,46,31,18,14,13,13,12,7,3,2,0,1,0,0,1,244,NaN,NaN,0,NaN,9,1195
1519764391427,2.706778,5.1753035,24.027897,22.4,38.7,80,31,35,22,6,8,11,6,2,0,1,0,0,1,0,0,203,NaN,NaN,0,NaN,5,1171
1519764402453,3.5789278,6.361818,42.248276,22.4,38.7,94,45,49,27,12,5,7,7,3,0,0,1,1,1,0,0,252,NaN,NaN,0,NaN,5,924
1519764409593,3.5965743,6.596249,35.093403,22.4,38.7,108,56,39,34,15,17,6,7,2,2,2,2,0,0,0,0,290,NaN,NaN,0,NaN,4,828
1519764449815,3.8562756,6.662293,17.626097,22.6,37.100002,105,67,44,20,9,12,12,5,2,0,0,1,0,0,0,0,277,NaN,NaN,0,NaN,3,881
1519764458895,3.5212195,5.9971013,30.295044,22.6,37.100002,99,54,38,27,9,10,10,3,0,1,0,0,0,1,0,1,253,NaN,NaN,0,NaN,1,536
1519764466034,3.521848,5.5951433,13.839711,22.6,37.100002,132,61,33,25,12,8,9,3,0,0,0,1,0,0,0,0,284,NaN,NaN,0,NaN,2,1616
1519764474467,4.013681,6.153224,26.57371,22.6,37.100002,130,48,49,21,8,4,5,2,1,0,2,0,1,0,0,0,271,NaN,NaN,0,NaN,2,1576
1519764485496,3.7591798,6.3677897,14.212231,22.6,37.100002,111,56,34,18,12,12,5,6,3,0,1,0,0,0,0,0,258,NaN,NaN,0,NaN,0,1283
1519764490687,3.406717,5.6374874,17.092905,22.800001,36.5,112,52,46,32,7,9,9,3,0,0,0,0,1,0,0,0,271,NaN,NaN,0,NaN,0,622
1519764498471,3.493053,5.7542057,13.242465,22.800001,36.5,104,51,34,31,6,8,5,4,1,1,1,0,0,0,0,0,246,NaN,NaN,0,NaN,5,1558
1519764508204,3.8977187,6.423313,64.093346,22.800001,36.5,134,41,49,28,12,8,4,2,3,3,0,2,1,1,1,0,289,NaN,NaN,0,NaN,3,1450
1519764515339,4.4185452,7.6913033,72.43926,22.800001,36.5,130,74,43,39,9,10,12,7,2,1,3,2,0,2,1,0,335,NaN,NaN,0,NaN,3,1146
1519764523126,3.8199146,6.2694077,50.888435,22.800001,36.5,121,63,43,18,10,8,9,1,3,3,2,1,1,1,0,0,284,NaN,NaN,0,NaN,3,1770
1519764531558,3.442992,6.2142434,24.396744,22.800001,36.5,103,52,39,30,11,10,8,7,3,1,1,0,0,0,0,1,266,NaN,NaN,0,NaN,1,1197
1519764539339,3.8028562,6.303687,8.847178,22.800001,36.5,129,59,35,31,7,11,8,6,1,0,0,0,0,0,0,0,287,NaN,NaN,0,NaN,4,1066
1519764575671,4.2136507,6.4413075,18.954206,22.9,37.600002,163,64,44,15,8,8,7,5,1,1,0,0,0,0,0,1,317,NaN,NaN,0,NaN,2,1231
1519764629517,3.2463682,5.7022834,13.959279,23.300001,37.4,116,41,34,23,13,16,7,2,3,1,1,0,0,0,0,0,257,NaN,NaN,0,NaN,4,1357
1519764845806,4.2355075,6.577359,11.634622,23.9,38.2,144,63,49,29,5,8,7,3,1,0,1,0,0,0,0,0,310,NaN,NaN,0,NaN,8,26883
1519764853898,4.1671824,6.263257,9.510058,24.2,38.4,147,57,47,17,6,5,8,1,1,1,0,0,0,0,0,0,290,NaN,NaN,0,NaN,3,1066
1519764861647,3.7150888,5.9256377,9.061008,24.2,38.4,125,55,34,20,12,6,9,3,0,1,0,0,0,0,0,0,265,NaN,NaN,0,NaN,0,632
1519764869986,4.0833974,6.59838,11.123216,24.2,38.4,179,53,42,22,13,14,11,1,3,1,0,0,0,0,0,0,339,NaN,NaN,0,NaN,4,954
1519764878371,4.3421636,6.438095,20.450401,24.2,38.4,174,72,43,22,11,7,8,1,1,0,1,0,0,0,1,0,341,NaN,NaN,0,NaN,5,1975
1519764888370,4.0405574,6.377625,24.393095,24.2,38.4,164,54,45,23,14,8,8,3,2,0,0,1,0,0,0,1,323,NaN,NaN,0,NaN,1,1832
