phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy,luxLevel,motion
1520120384903,258.98892,454.42328,929.2349,27.800001,23.7,8036,4726,3554,2524,1122,1079,638,335,119,68,13,14,3,1,0,3,22235,-3.1835351,55.944718,137.800003051758,12.751,15,0
1520120393340,279.6439,489.6888,818.2311,29.7,23.300001,8331,5262,4002,2812,1252,1141,679,361,102,59,14,4,0,0,0,0,24019,-3.1835438,55.9447134,137.800003051758,11.798,13,0
1520120402421,342.3845,582.95966,898.1613,29.7,23.300001,9817,6621,5051,3449,1394,1285,660,349,107,47,11,6,0,0,0,0,28797,-3.1835419,55.9447121,137.899993896484,10.886,12,0
1520120410854,314.69437,532.79486,823.29785,29.7,23.300001,9373,5793,4457,3073,1258,1194,567,296,104,46,7,3,2,0,0,0,26173,-3.183542,55.944713,147.800003051758,10.68,15,0
1520120418642,427.09885,774.6513,1325.6987,29.7,23.300001,9251,8316,6746,4821,2092,1889,984,512,138,84,27,10,2,0,0,0,34872,-3.1835359,55.9447175,137.800003051758,10.573,15,0
1520120427071,390.69324,674.9388,1063.1354,29.7,23.300001,9936,7763,6040,4249,1770,1536,761,333,111,54,13,9,2,1,0,0,32578,-3.1835423,55.9447115,137.899993896484,10.352,15,0
1520120435505,414.70856,715.2962,1157.6876,29.7,23.300001,10152,8176,6456,4324,1766,1509,757,403,136,62,16,6,5,0,0,0,33768,-3.1835405,55.94471,147.800003051758,10.304,15,0
1520120444583,478.37723,861.1693,1449.1991,29.7,23.300001,9651,10357,8892,6064,2471,2044,1070,507,187,104,20,9,3,4,0,0,41383,-3.1835488,55.9447081,137.800003051758,10.264,16,0
1520120452374,516.66583,989.2022,1987.3846,29.7,23.300001,7565,10657,10077,7453,3191,2667,1262,625,225,144,50,26,6,5,2,3,43958,-3.1835452,55.944709,137.800003051758,10.258,13,0
1520120460808,486.21292,886.42224,1448.7346,29.7,23.300001,8908,10237,9019,6211,2599,2100,1079,550,160,100,21,10,3,0,0,0,40997,-3.1835423,55.9447082,137.800003051758,10.23,11,0
1520120469881,464.21765,835.02075,1287.3121,31.300001,23,9787,10533,8899,6286,2676,2093,1044,496,162,97,19,3,0,0,0,2,42097,-3.1835403,55.9447158,137.800003051758,10.212,10,0
1520120478315,418.27557,724.6611,1082.5381,31.300001,23,9956,8768,7079,4654,1860,1537,811,424,138,68,15,1,0,0,0,0,35311,-3.1835403,55.9447158,137.800003051758,10.212,10,0
1520120486119,425.09286,736.77167,1114.0371,31.300001,23,9557,8720,6942,4589,1837,1576,770,399,130,71,15,3,0,0,0,0,34609,-3.1835403,55.9447158,137.800003051758,10.212,10,0
1520120493891,414.38705,715.3412,1105.7604,31.300001,23,9656,8583,6866,4466,1819,1602,751,361,123,65,19,6,1,0,0,0,34318,-3.1835478,55.9447077,137.899993896484,13.395,12,0
1520120502327,465.1202,863.813,1506.7065,31.300001,23,8435,9338,8556,6367,2642,2164,1070,528,159,84,40,13,6,0,0,0,39402,-3.1835516,55.944707,137.899993896484,12.191,16,1
1520120510110,469.19363,864.2467,1385.839,31.300001,23,8617,9547,8603,6216,2638,2286,1065,472,132,67,28,12,3,0,0,0,39686,-3.1835491,55.9447064,137.800003051758,11.051,17,0
1520120518544,481.6974,908.75916,1427.8038,31.300001,23,8338,9910,9280,7139,3138,2524,1222,503,137,76,28,6,3,1,0,1,42306,-3.1835448,55.9447069,137.800003051758,10.987,17,1
1520120527626,476.14227,933.8527,1627.2236,31.300001,23,7960,10215,9857,7641,3507,2917,1486,696,213,122,35,12,2,2,0,0,44665,-3.1835489,55.9447068,137.899993896484,10.725,17,0
1520120536063,479.3333,926.94446,1505.6942,32.4,21.800001,8199,10047,9569,7325,3251,2770,1411,620,216,102,17,10,1,0,0,0,43538,-3.183545,55.9447068,137.899993896484,10.759,17,0
1520120544497,468.89218,886.67487,1420.7915,32.4,21.800001,8698,10207,9538,7090,3142,2641,1319,564,144,90,24,7,1,4,0,1,43470,-3.1835475,55.9447064,137.899993896484,10.603,17,0
1520120554230,473.85336,925.4427,1502.9484,32.4,21.800001,8352,10166,10085,7796,3533,2952,1492,692,195,85,27,10,3,0,0,0,45388,-3.1835441,55.9447068,137.800003051758,10.456,16,0
1520120562654,468.13437,926.22534,1527.096,32.4,21.800001,8186,10169,9926,7956,3651,3049,1556,737,226,95,34,6,0,2,0,0,45593,-3.1835497,55.9447059,137.899993896484,10.388,15,0
1520120571737,457.87314,909.1406,1495.662,32.4,21.800001,8182,9649,9226,7530,3405,3012,1475,754,254,98,25,3,1,0,0,0,43614,-3.1835429,55.944706,137.800003051758,10.433,13,0
1520120580817,447.48758,868.989,1420.4489,32.4,21.800001,8405,9476,8912,7192,3226,2678,1386,630,208,85,22,6,2,1,1,0,42230,-3.1835424,55.9447048,137.800003051758,10.559,15,0
1520120589255,443.26334,850.5172,1478.3936,32.4,21.800001,8681,9402,8836,6815,3036,2656,1222,610,239,119,22,10,3,1,0,0,41652,-3.183558,55.9447056,137.800003051758,15.974,14,0
1520120598336,431.7088,832.1834,1495.2571,32.4,21.800001,9049,9466,8824,7039,3101,2630,1338,676,220,107,33,13,6,1,0,0,42503,-3.1835584,55.9447054,137.800003051758,13.428,13,0
1520120606768,450.2567,890.0079,1488.833,32.4,21.800001,8510,9493,9312,7283,3338,2937,1462,767,259,119,20,5,0,0,0,0,43505,-3.1835573,55.9447054,137.800003051758,18.874,14,0
1520120615851,444.3187,869.99634,1445.792,33.100002,20.5,8174,9029,8928,6952,3137,2734,1402,625,219,98,16,10,1,1,0,0,41326,-3.1835567,55.9447055,137.800003051758,19.961,17,0
1520120624286,453.70212,915.9932,1565.2631,33.100002,20.5,7962,9381,9571,7728,3655,3043,1583,808,258,132,27,5,0,0,0,0,44153,-3.1835573,55.9447063,137.800003051758,19.993,17,0
1520120633370,445.03033,877.766,1540.6152,33.100002,20.5,8547,9446,9162,7544,3445,2933,1450,694,222,97,33,16,2,1,1,0,43593,-3.1835575,55.9447055,137.800003051758,20.072,16,0
1520120642460,445.71332,901.22546,1522.997,33.100002,20.5,7868,9193,9014,7585,3519,3215,1602,680,239,97,28,10,1,0,0,0,43051,-3.1835575,55.9447056,137.800003051758,18.854,17,0
1520120652180,448.2858,917.7701,1575.8375,33.100002,20.5,7844,9295,9609,7917,3882,3294,1703,771,260,117,32,9,0,0,0,0,44733,-3.1835369,55.9447061,137.800003051758,19.987,14,0
