phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy,luxLevel,motion
1519868498237,16.648584,32.007977,103.32243,0,0,385,143,98,53,32,45,41,26,14,9,3,0,0,0,0,0,849,-3.1836579,55.9447512,0,10,6,0
1519868503423,16.357038,34.119457,130.28423,0,0,355,148,90,58,39,49,51,29,22,9,3,1,0,0,0,0,854,-3.1836579,55.9447512,0,10,9,0
1519868511211,15.701307,31.740707,69.88692,19.9,67,383,132,107,59,34,46,69,25,10,3,1,0,0,0,0,0,869,-3.1835304,55.9447156,0,16.988,5,0
1519868518996,15.072403,28.839558,66.92078,19.9,67,374,153,109,75,38,46,43,22,16,3,1,0,0,0,0,0,880,-3.183605,55.9447399,0,14.752,11,0
1519868526779,13.452643,26.559132,51.253265,19.9,67,362,134,83,62,24,45,58,26,7,2,0,0,0,0,0,0,803,-3.1837814,55.9446833,140.010268142541,10.268,8,0
1519868533915,11.723582,24.265095,50.27196,19.9,67,317,134,73,59,27,48,61,26,7,3,0,0,0,0,0,0,755,-3.1838093,55.9446541,137.682073761176,13.029,11,0
1519868541699,11.314596,22.73487,47.00642,19.9,67,280,133,84,47,23,42,50,20,13,1,0,0,0,0,0,0,693,-3.1838224,55.9445811,134.326784476194,13.874,19,0
1519868548837,10.151845,17.938116,25.931252,19.9,67,304,114,68,51,25,31,36,9,3,0,0,0,0,0,0,0,641,-3.1837929,55.9445277,131.52773488846,14.813,20,0
1519868556629,8.474709,14.762313,24.329597,19.9,67,302,107,46,41,27,27,33,7,4,1,0,0,0,0,0,0,595,-3.1837123,55.9444859,129.686938287042,15.909,20,0
1519868563761,7.763327,13.788016,18.761753,19.9,67,287,82,43,52,22,31,31,7,1,0,0,0,0,0,0,0,556,-3.1836555,55.9444472,127.562102250053,16.109,20,0
1519868571552,7.7012024,12.943416,18.350496,20.4,65.4,277,87,51,30,20,28,25,4,3,0,0,0,0,0,0,0,525,-3.1835928,55.9444218,125.826345597201,15.187,20,0
