phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy
1512738227632,0.0,0.0,0.0,20.4,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1840781,55.9452398,132.0,93.0
1512738248394,2.3813546,3.5808733,6.0646577,20.0,35.4,227,77,49,41,9,4,12,2,2,0,1,0,0,0,0,0,424,-3.1841857,55.9451407,139.0,6.0
1512738269153,2.5516021,4.0893126,7.2407665,19.5,27.0,199,91,67,36,12,12,8,9,2,2,0,0,0,0,0,0,438,-3.184221,55.9448762,139.0,11.0
1512738288615,3.1014173,4.1804037,5.927467,18.800001,27.2,325,112,46,32,14,9,4,1,0,2,0,0,0,0,0,0,545,-3.1837764,55.9446084,135.0,8.0
1512738308728,2.300874,3.3070984,12.635629,18.1,26.0,206,73,46,29,7,8,5,1,1,1,0,1,0,0,1,0,379,-3.1835368,55.9442844,138.0,4.0
1512738329573,3.672286,4.7955446,6.4221797,17.5,25.4,404,105,49,32,11,8,2,1,2,1,0,0,0,0,0,0,615,-3.1835068,55.9439842,139.0,8.0
1512738349679,1.9577855,2.8960445,8.077333,16.7,26.300001,163,57,47,38,13,6,1,2,0,0,0,0,1,0,0,0,328,-3.1834376,55.9436754,139.0,9.0
1512738369799,4.407947,6.035072,8.393948,16.0,26.1,500,100,71,44,16,8,9,5,0,2,0,0,0,0,0,0,755,-3.1833554,55.943412,137.0,6.0
1512738389835,2.7729955,4.1313624,5.1756496,15.0,26.2,256,87,55,27,15,14,8,5,1,0,0,0,0,0,0,0,468,-3.1832366,55.9431793,140.0,8.0
1512738411336,2.717948,4.191267,4.8618193,14.0,27.1,201,102,59,37,13,19,8,4,0,0,0,0,0,0,0,0,443,-3.1830888,55.9428629,135.0,8.0
1512738430772,2.7252457,4.1658545,13.137664,13.1,29.9,206,101,59,33,12,13,7,6,0,2,1,0,0,1,0,0,441,-3.1827354,55.9426114,133.0,5.0
1512738451550,4.586313,7.5038285,20.992088,13.1,32.5,398,158,104,63,42,33,16,12,5,4,3,1,0,0,0,0,839,-3.182255,55.9423158,133.0,6.0
1512738470916,4.161265,7.072165,20.382393,12.900001,31.1,413,104,88,62,30,19,27,13,9,5,1,1,0,0,0,0,772,-3.1819893,55.9420617,138.0,9.0
1512738491085,8.054979,10.946325,17.497843,12.8,32.5,873,226,141,58,14,15,16,10,6,0,0,1,0,0,0,0,1360,-3.1819475,55.941805,137.0,7.0
1512738511866,13.555571,19.290667,29.73387,12.7,32.4,1261,469,283,102,30,46,32,24,6,1,1,1,0,0,0,0,2256,-3.181685,55.9415558,140.0,11.0
1512738532653,3.8692336,6.434935,9.9531975,12.5,32.600002,345,122,83,46,17,20,34,10,3,1,0,0,0,0,0,0,681,-3.1814231,55.9412708,131.0,13.0
1512738552760,3.7362883,5.93269,19.654781,12.400001,33.100002,271,137,86,60,15,20,14,5,4,2,0,0,1,1,0,0,616,-3.1811327,55.9410191,133.0,10.0
1512738572873,2.2105365,3.5198772,5.891796,12.3,33.2,203,62,54,42,13,16,6,4,1,2,0,0,0,0,0,0,403,-3.1814163,55.9407883,136.0,6.0
1512738592235,2.663888,4.1220737,5.1867857,12.1,32.600002,215,87,60,35,11,17,8,5,1,0,0,0,0,0,0,0,439,-3.1819696,55.9405325,141.0,5.0
1512738613081,2.0994477,3.1455803,3.411306,11.8,32.0,173,63,45,31,17,10,4,1,0,0,0,0,0,0,0,0,344,-3.182586,55.9404346,136.0,11.0
1512738633416,3.036185,4.5667977,6.7103124,11.3,32.4,291,71,56,37,16,18,6,4,2,1,0,0,0,0,0,0,502,-3.1827628,55.9404572,133.0,5.0
1512738654874,1.6863328,2.7623546,2.9799633,11.1,33.600002,101,58,37,33,18,13,5,0,0,0,0,0,0,0,0,0,265,-3.1835483,55.9403788,138.0,6.0
1512738673844,1.8699329,2.9281113,3.2840064,11.0,33.9,111,55,54,30,11,6,4,2,0,0,0,0,0,0,0,0,273,-3.1838253,55.9403201,140.0,7.0
1512738694597,2.2406018,3.539643,9.594265,10.7,33.8,146,69,47,30,14,7,6,2,1,4,1,0,0,0,0,0,327,-3.1840858,55.9402125,136.0,7.0
1512738714061,2.8009758,4.997455,8.851799,10.400001,34.100002,195,84,58,48,27,22,19,5,3,2,0,0,0,0,0,0,463,-3.1846955,55.9400302,135.0,7.0
1512738734164,2.4064417,3.9620273,9.306378,10.0,34.600002,170,75,45,46,10,19,10,4,0,1,0,1,0,0,0,0,381,-3.1851074,55.939967,128.0,7.0
1512738754279,2.139971,3.7442696,5.5015154,9.7,35.0,130,62,51,37,16,14,12,3,3,0,0,0,0,0,0,0,328,-3.1855739,55.9398489,138.0,8.0
1512738775049,2.5117352,3.8361945,4.141679,9.5,35.5,168,80,53,44,12,15,4,1,0,0,0,0,0,0,0,0,377,-3.1861997,55.9397845,136.0,6.0
1512738795145,2.2020469,3.8534534,5.5686226,9.3,35.600002,110,65,61,27,17,12,10,6,2,0,0,0,0,0,0,0,310,-3.1867706,55.9397492,135.0,8.0
1512738815910,1.7947521,2.8538806,3.375202,9.1,36.5,117,54,36,33,11,15,3,0,1,0,0,0,0,0,0,0,270,-3.1873065,55.9397023,122.0,6.0
1512738836680,4.0929437,7.77097,16.618452,8.900001,36.600002,225,126,103,60,33,31,24,18,10,3,0,0,0,0,0,0,633,-3.1878573,55.9397101,120.0,4.0
1512738858083,2.6878383,4.841151,8.246003,8.7,37.0,157,91,68,43,22,20,19,9,1,0,1,0,0,0,0,0,431,-3.1883307,55.9396366,119.0,3.9
1512738878836,2.7608838,4.4291024,5.46357,8.5,37.3,203,85,55,36,11,19,12,6,0,0,0,0,0,0,0,0,427,-3.1889135,55.9396795,120.0,4.0
1512738900847,2.7812614,4.4335837,6.02762,8.2,37.4,218,95,70,40,16,12,15,3,3,0,0,0,0,0,0,0,472,-3.1895393,55.9396692,123.0,3.9
1512738924169,2.1962624,3.6449382,4.4340158,8.1,37.8,151,74,59,35,30,13,6,6,0,0,0,0,0,0,0,0,374,-3.1900551,55.9397224,124.0,5.0
1512738945014,2.507835,4.448815,7.5564637,8.1,38.2,158,79,74,50,24,19,14,5,2,2,0,0,0,0,0,0,427,-3.190525,55.9398022,119.0,4.0
1512738967078,2.6799839,5.265054,13.520126,7.8,38.3,142,91,72,52,23,35,22,7,5,2,0,1,0,0,0,0,452,-3.1911965,55.9398213,125.0,7.0
1512738991730,2.3856146,4.0708017,6.1641264,7.7000003,38.9,173,85,65,44,18,22,13,4,2,1,0,0,0,0,0,0,427,-3.1917231,55.9399505,122.0,9.0
1512739015090,2.28545,4.032841,6.943827,7.5,39.7,129,90,82,47,19,19,9,6,5,1,0,0,0,0,0,0,407,-3.1918384,55.939958,126.0,6.0
1512739039651,1.9951667,3.337855,3.807509,7.3,40.0,143,67,53,51,21,13,9,2,0,0,0,0,0,0,0,0,359,-3.1917444,55.940137,112.0,7.0
1512739061793,2.0662832,3.5019794,6.782653,6.1,41.7,129,61,53,38,15,16,8,2,1,1,1,0,0,0,0,0,325,-3.191681,55.9404354,119.0,8.0
1512739083846,1.9555438,3.438798,4.679823,5.4,44.4,107,65,48,33,18,26,9,0,0,1,0,0,0,0,0,0,307,-3.1916147,55.9408443,119.0,6.0
1512739105823,1.7676543,2.899035,3.6286848,4.9,46.100002,102,66,46,37,14,14,2,3,1,0,0,0,0,0,0,0,285,-3.1915656,55.9412226,120.0,7.0
1512739127966,1.8992921,3.2430086,4.527508,4.4,47.600002,110,63,42,35,22,15,8,1,0,1,0,0,0,0,0,0,297,-3.1914832,55.9415025,125.0,9.0
1512739149371,1.7800575,2.9010453,3.7613232,4.0,49.600002,104,46,43,32,10,7,4,3,1,0,0,0,0,0,0,0,250,-3.1915368,55.9417373,121.0,9.0
1512739170702,1.9594395,3.2075384,5.5810976,3.8,49.7,118,62,45,33,9,15,7,1,1,0,1,0,0,0,0,0,292,-3.1915495,55.9420476,126.0,11.0
1512739192841,1.9277314,3.1244078,3.7995484,3.7,51.3,90,58,58,26,13,6,6,1,1,0,0,0,0,0,0,0,259,-3.1915176,55.9423926,131.0,9.0
1512739217495,1.701601,2.9206767,4.4833007,3.6000001,50.7,104,60,34,43,12,14,8,1,1,1,0,0,0,0,0,0,278,-3.1919824,55.942558,127.0,6.0
1512739238166,1.8862728,3.2863214,17.1378,3.7,51.0,103,62,43,50,7,19,5,3,2,0,1,0,0,2,0,0,297,-3.192419,55.9425827,131.0,8.0
1512739259576,1.9964306,3.13718,3.4374943,4.0,50.100002,109,57,46,29,13,9,4,1,0,0,0,0,0,0,0,0,268,-3.1928877,55.9426775,122.0,6.0
1512739279687,1.9785068,3.3287516,5.120874,4.3,49.600002,105,71,45,31,12,17,3,7,0,1,0,0,0,0,0,0,292,-3.1933626,55.9426803,120.0,6.0
1512739300528,1.7229244,2.9986157,4.1900144,4.6,48.8,99,41,41,36,9,15,5,2,2,0,0,0,0,0,0,0,250,-3.1939473,55.9426323,121.0,6.0
1512739322593,2.2164884,3.541663,3.9346106,4.9,47.5,111,65,65,26,13,15,3,2,0,0,0,0,0,0,0,0,300,-3.1945579,55.9425323,123.0,12.0
1512739345217,2.050701,3.4866207,4.736241,5.1,46.5,134,64,63,33,15,12,12,3,2,0,0,0,0,0,0,0,338,-3.1950024,55.9425532,121.0,8.0
1512739366708,2.1208408,3.2517338,3.5648735,5.5,46.5,107,69,54,22,8,9,5,1,0,0,0,0,0,0,0,0,275,-3.1956873,55.9424103,126.0,4.0
1512739388119,1.9092377,3.0621934,7.146676,5.8,45.2,126,51,46,34,8,13,6,1,0,0,0,1,0,0,0,0,286,-3.1961156,55.9424471,123.0,9.0
1512739412026,1.9191697,3.2105386,7.091315,6.1,43.9,122,58,49,37,11,7,10,3,0,2,1,0,0,0,0,0,300,-3.1967717,55.9423898,117.0,6.0
1512739432140,2.0260398,3.3721168,4.6854033,6.3,43.3,123,57,44,30,11,15,6,3,2,0,0,0,0,0,0,0,291,-3.1972163,55.942347,125.0,8.0
1512739454942,2.1238372,3.363631,3.718156,6.4,43.3,144,66,56,27,20,12,7,1,0,0,0,0,0,0,0,0,333,-3.1976696,55.9423629,125.0,7.0
1512739478942,2.2735276,3.6002274,5.6326675,6.5,43.2,158,70,66,39,14,13,4,3,0,2,0,0,0,0,0,0,369,-3.1983853,55.9423082,120.0,4.0
1512739502308,2.3733802,3.8586922,4.6821904,6.7000003,42.600002,145,66,67,42,8,14,5,6,0,0,0,0,0,0,0,0,353,-3.1990625,55.9421932,120.0,4.0
1512739526952,2.427959,3.9398217,4.89507,6.9,42.0,199,80,70,48,12,11,16,3,1,0,0,0,0,0,0,0,440,-3.1996833,55.9421613,120.0,5.0
1512739548361,2.4969525,4.115423,8.34605,7.0,41.600002,167,70,50,50,13,16,11,1,1,0,2,0,0,0,0,0,381,-3.2002083,55.9421338,118.0,7.0
